0.0,1.0
332,10
8,190
0.0,1.0
332,40
8,160
0.0,1.0
335,38
5,162
0.0,1.0
212,167
128,33
0.0,1.0
314,11
5,182
0.0,1.0
312,39
7,154
0.0,1.0
312,34
7,159
0.0,1.0
184,161
135,32
0.0,1.0
298,10
6,169
0.0,1.0
299,37
5,142
0.0,1.0
299,32
5,147
0.0,1.0
197,155
107,24
0.0,1.0
279,8
6,162
0.0,1.0
281,35
4,135
0.0,1.0
281,30
4,140
0.0,1.0
175,144
110,26
0.0,1.0
262,6
5,153
0.0,1.0
263,35
4,124
0.0,1.0
263,29
4,130
0.0,1.0
171,134
96,25
0.0,1.0
246,9
5,138
0.0,1.0
247,30
4,117
0.0,1.0
247,27
4,120
0.0,1.0
162,125
89,22
0.0,1.0
228,6
4,131
0.0,1.0
228,26
4,111
0.0,1.0
228,24
4,113
0.0,1.0
146,118
86,19
0.0,1.0
211,6
4,120
0.0,1.0
211,25
4,101
0.0,1.0
211,24
4,102
0.0,1.0
138,109
77,17
0.0,1.0
198,6
4,104
0.0,1.0
198,22
4,88
0.0,1.0
198,22
4,88
0.0,1.0
200,107
2,3
0.0,1.0
182,6
4,92
0.0,1.0
182,21
4,77
0.0,1.0
184,23
2,75
0.0,1.0
186,98
0,0
0.0,1.0
163,3
2,88
0.0,1.0
162,20
3,71
0.0,1.0
164,22
1,69
0.0,1.0
165,91
0,0
0.0,1.0
147,3
2,75
0.0,1.0
146,17
3,61
0.0,1.0
147,19
2,59
0.0,1.0
149,78
0,0
0.0,1.0
136,4
1,58
0.0,1.0
135,13
2,49
0.0,1.0
137,17
0,45
0.0,1.0
137,62
0,0
0.0,1.0
113,3
2,52
0.0,1.0
114,11
1,44
0.0,1.0
114,14
1,41
0.0,1.0
115,55
0,0
0.0,1.0
92,2
2,46
0.0,1.0
93,11
1,37
0.0,1.0
94,14
0,34
0.0,1.0
94,48
0,0
0.0,1.0
77,2
2,32
0.0,1.0
79,10
0,24
0.0,1.0
79,11
0,23
0.0,1.0
79,34
0,0
0.0,1.0
61,1
1,22
0.0,1.0
62,7
0,16
0.0,1.0
62,8
0,15
0.0,1.0
62,23
0,0
0.0,1.0
42,0
0,14
0.0,1.0
42,6
0,8
0.0,1.0
42,5
0,9
0.0,1.0
42,14
0,0
0.0,1.0
23,0
0,5
0.0,1.0
23,3
0,2
0.0,1.0
23,4
0,1
0.0,1.0
23,5
0,0
