0.0,1.0
340,27
0,173
0.0,1.0
333,16
7,184
0.0,1.0
335,21
5,179
0.0,1.0
332,18
8,182
0.0,1.0
335,22
5,178
0.0,1.0
330,20
10,180
0.0,1.0
331,22
9,178
0.0,1.0
330,20
10,180
0.0,1.0
324,25
0,163
0.0,1.0
317,15
7,173
0.0,1.0
319,20
5,168
0.0,1.0
317,16
7,172
0.0,1.0
319,21
5,167
0.0,1.0
314,18
10,170
0.0,1.0
315,20
9,168
0.0,1.0
314,19
10,169
0.0,1.0
309,22
0,152
0.0,1.0
302,14
7,160
0.0,1.0
304,18
5,156
0.0,1.0
302,15
7,159
0.0,1.0
304,19
5,155
0.0,1.0
299,16
10,158
0.0,1.0
302,22
7,152
0.0,1.0
299,17
10,157
0.0,1.0
291,20
0,144
0.0,1.0
284,12
7,152
0.0,1.0
286,16
5,148
0.0,1.0
283,13
8,151
0.0,1.0
285,17
6,147
0.0,1.0
281,13
10,151
0.0,1.0
284,19
7,145
0.0,1.0
281,15
10,149
0.0,1.0
274,18
0,134
0.0,1.0
267,13
7,139
0.0,1.0
269,15
5,137
0.0,1.0
267,12
7,140
0.0,1.0
269,14
5,138
0.0,1.0
264,12
10,140
0.0,1.0
266,17
8,135
0.0,1.0
265,13
9,139
0.0,1.0
261,18
0,119
0.0,1.0
254,13
7,124
0.0,1.0
257,16
4,121
0.0,1.0
254,12
7,125
0.0,1.0
256,15
5,122
0.0,1.0
252,13
9,124
0.0,1.0
253,17
8,120
0.0,1.0
253,13
8,124
0.0,1.0
246,15
0,108
0.0,1.0
241,10
5,113
0.0,1.0
243,13
3,110
0.0,1.0
239,10
7,113
0.0,1.0
240,14
6,109
0.0,1.0
239,11
7,112
0.0,1.0
240,14
6,109
0.0,1.0
240,14
6,109
0.0,1.0
229,15
0,97
0.0,1.0
225,9
4,103
0.0,1.0
226,13
3,99
0.0,1.0
223,11
6,101
0.0,1.0
223,15
6,97
0.0,1.0
222,12
7,100
0.0,1.0
223,15
6,97
0.0,1.0
223,15
6,97
0.0,1.0
212,14
0,86
0.0,1.0
208,9
4,91
0.0,1.0
209,13
3,87
0.0,1.0
206,10
6,90
0.0,1.0
207,14
5,86
0.0,1.0
206,12
6,88
0.0,1.0
207,14
5,86
0.0,1.0
207,13
5,87
0.0,1.0
194,13
0,77
0.0,1.0
191,8
3,82
0.0,1.0
191,11
3,79
0.0,1.0
190,8
4,82
0.0,1.0
190,12
4,78
0.0,1.0
189,12
5,78
0.0,1.0
190,13
4,77
0.0,1.0
190,12
4,78
0.0,1.0
175,13
0,68
0.0,1.0
172,7
3,74
0.0,1.0
172,11
3,70
0.0,1.0
171,9
4,72
0.0,1.0
171,12
4,69
0.0,1.0
170,12
5,69
0.0,1.0
171,12
4,69
0.0,1.0
171,11
4,70
0.0,1.0
155,11
0,61
0.0,1.0
153,7
2,65
0.0,1.0
153,12
2,60
0.0,1.0
152,9
3,63
0.0,1.0
152,12
3,60
0.0,1.0
151,12
4,60
0.0,1.0
152,12
3,60
0.0,1.0
152,11
3,61
0.0,1.0
136,10
0,53
0.0,1.0
134,6
2,57
0.0,1.0
134,13
2,50
0.0,1.0
133,9
3,54
0.0,1.0
133,12
3,51
0.0,1.0
132,12
4,51
0.0,1.0
134,13
2,50
0.0,1.0
134,11
2,52
0.0,1.0
117,6
0,47
0.0,1.0
115,3
2,50
0.0,1.0
115,9
2,44
0.0,1.0
114,7
3,46
0.0,1.0
114,9
3,44
0.0,1.0
113,9
4,44
0.0,1.0
115,10
2,43
0.0,1.0
115,8
2,45
0.0,1.0
96,6
0,40
0.0,1.0
93,2
3,44
0.0,1.0
94,8
2,38
0.0,1.0
93,5
3,41
0.0,1.0
93,7
3,39
0.0,1.0
93,6
3,40
0.0,1.0
94,9
2,37
0.0,1.0
94,8
2,38
0.0,1.0
79,4
0,30
0.0,1.0
76,3
3,31
0.0,1.0
78,7
1,27
0.0,1.0
76,4
3,30
0.0,1.0
77,7
2,27
0.0,1.0
77,7
2,27
0.0,1.0
78,9
1,25
0.0,1.0
78,8
1,26
0.0,1.0
58,2
0,25
0.0,1.0
57,2
1,25
0.0,1.0
58,5
0,22
0.0,1.0
58,3
0,24
0.0,1.0
58,6
0,21
0.0,1.0
57,6
1,21
0.0,1.0
58,7
0,20
0.0,1.0
57,6
1,21
0.0,1.0
40,4
0,12
0.0,1.0
40,3
0,13
0.0,1.0
40,4
0,12
0.0,1.0
38,2
2,14
0.0,1.0
38,2
2,14
0.0,1.0
38,2
2,14
0.0,1.0
38,3
2,13
0.0,1.0
38,3
2,13
0.0,1.0
19,2
0,7
0.0,1.0
18,1
1,8
0.0,1.0
18,2
1,7
0.0,1.0
18,1
1,8
0.0,1.0
18,3
1,6
0.0,1.0
18,2
1,7
0.0,1.0
18,3
1,6
0.0,1.0
18,3
1,6
