1,2,3
28,15,2
0,5937,113
0,0,77
1,2,3
3,2,2
25,5929,97
0,21,93
1,2,3
0,0,0
28,5948,158
0,4,34
1,2,3
0,0,0
28,5939,154
0,13,38
1,2,3
0,0,0
28,5947,173
0,5,19
1,2,3
0,0,0
28,5945,170
0,7,22
1,2,3
0,0,0
28,5947,173
0,5,19
1,2,3
0,0,0
28,5943,170
0,9,22
1,2,3
28,15,1
0,5621,111
0,0,71
1,2,3
2,1,1
26,5615,95
0,20,87
1,2,3
0,0,0
28,5632,150
0,4,33
1,2,3
0,0,0
28,5624,147
0,12,36
1,2,3
0,0,0
28,5630,166
0,6,17
1,2,3
0,0,0
28,5626,162
0,10,21
1,2,3
0,0,0
28,5631,168
0,5,15
1,2,3
0,0,0
28,5628,164
0,8,19
1,2,3
26,13,1
0,5311,108
0,0,63
1,2,3
2,1,1
24,5304,92
0,19,79
1,2,3
0,0,0
26,5319,139
0,5,33
1,2,3
0,0,0
26,5311,133
0,13,39
1,2,3
0,0,0
26,5317,155
0,7,17
1,2,3
0,0,0
26,5316,148
0,8,24
1,2,3
0,0,0
26,5321,161
0,3,11
1,2,3
0,0,0
26,5318,158
0,6,14
1,2,3
25,15,0
0,4999,104
0,0,54
1,2,3
0,0,0
25,4998,90
0,16,68
1,2,3
0,0,0
25,5009,129
0,5,29
1,2,3
0,0,0
25,5001,122
0,13,36
1,2,3
0,0,0
25,5007,140
0,7,18
1,2,3
0,0,0
25,5006,133
0,8,25
1,2,3
0,0,0
25,5011,146
0,3,12
1,2,3
0,0,0
25,5008,144
0,6,14
1,2,3
23,12,0
0,4691,98
0,0,48
1,2,3
0,0,0
23,4691,85
0,12,61
1,2,3
0,0,0
23,4698,118
0,5,28
1,2,3
0,0,0
23,4690,111
0,13,35
1,2,3
0,0,0
23,4696,131
0,7,15
1,2,3
0,0,0
23,4695,123
0,8,23
1,2,3
0,0,0
23,4700,136
0,3,10
1,2,3
0,0,0
23,4697,134
0,6,12
1,2,3
20,11,0
0,4376,95
0,0,45
1,2,3
0,0,0
20,4377,83
0,10,57
1,2,3
0,0,0
20,4383,113
0,4,27
1,2,3
0,0,0
20,4376,108
0,11,32
1,2,3
0,0,0
20,4381,126
0,6,14
1,2,3
0,0,0
20,4380,118
0,7,22
1,2,3
0,0,0
20,4384,130
0,3,10
1,2,3
0,0,0
20,4381,128
0,6,12
1,2,3
19,13,0
0,4059,90
0,0,42
1,2,3
0,0,0
19,4062,80
0,10,52
1,2,3
0,0,0
19,4068,104
0,4,28
1,2,3
0,0,0
19,4061,99
0,11,33
1,2,3
0,0,0
19,4066,117
0,6,15
1,2,3
0,0,0
19,4065,110
0,7,22
1,2,3
0,0,0
19,4069,122
0,3,10
1,2,3
