0.0,1.0
336,29
0,175
0.0,1.0
330,19
6,185
0.0,1.0
333,27
3,177
0.0,1.0
326,21
10,183
0.0,1.0
329,24
7,180
0.0,1.0
325,21
11,183
0.0,1.0
326,24
10,180
0.0,1.0
324,21
12,183
0.0,1.0
316,31
0,165
0.0,1.0
311,19
5,177
0.0,1.0
313,26
3,170
0.0,1.0
306,20
10,176
0.0,1.0
309,24
7,172
0.0,1.0
304,20
12,176
0.0,1.0
305,22
11,174
0.0,1.0
305,21
11,175
0.0,1.0
294,31
0,158
0.0,1.0
289,17
5,172
0.0,1.0
291,25
3,164
0.0,1.0
283,21
11,168
0.0,1.0
286,23
8,166
0.0,1.0
282,18
12,171
0.0,1.0
284,21
10,168
0.0,1.0
284,20
10,169
0.0,1.0
278,28
0,149
0.0,1.0
272,15
6,162
0.0,1.0
275,24
3,153
0.0,1.0
268,18
10,159
0.0,1.0
271,20
7,157
0.0,1.0
269,17
9,160
0.0,1.0
270,20
8,157
0.0,1.0
269,20
9,157
0.0,1.0
260,27
0,139
0.0,1.0
254,14
6,152
0.0,1.0
257,23
3,143
0.0,1.0
250,18
10,148
0.0,1.0
253,22
7,144
0.0,1.0
251,17
9,149
0.0,1.0
252,20
8,146
0.0,1.0
251,20
9,146
0.0,1.0
243,25
0,130
0.0,1.0
238,14
5,141
0.0,1.0
240,23
3,132
0.0,1.0
233,17
10,138
0.0,1.0
237,20
6,135
0.0,1.0
235,16
8,139
0.0,1.0
236,19
7,136
0.0,1.0
236,19
7,136
0.0,1.0
226,23
0,120
0.0,1.0
221,15
5,128
0.0,1.0
223,23
3,120
0.0,1.0
217,16
9,127
0.0,1.0
220,19
6,124
0.0,1.0
219,16
7,127
0.0,1.0
221,20
5,123
0.0,1.0
221,19
5,124
0.0,1.0
205,24
0,112
0.0,1.0
200,16
5,120
0.0,1.0
201,24
4,112
0.0,1.0
196,17
9,119
0.0,1.0
199,18
6,118
0.0,1.0
198,16
7,120
0.0,1.0
200,22
5,114
0.0,1.0
200,19
5,117
0.0,1.0
187,21
0,104
0.0,1.0
182,12
5,113
0.0,1.0
182,20
5,105
0.0,1.0
179,15
8,110
0.0,1.0
183,17
4,108
0.0,1.0
181,15
6,110
0.0,1.0
183,19
4,106
0.0,1.0
182,17
5,108
0.0,1.0
171,17
0,96
0.0,1.0
168,11
3,102
0.0,1.0
169,17
2,96
0.0,1.0
165,13
6,100
0.0,1.0
167,15
4,98
0.0,1.0
166,12
5,101
0.0,1.0
168,16
3,97
0.0,1.0
167,15
4,98
0.0,1.0
151,14
0,91
0.0,1.0
148,9
3,96
0.0,1.0
148,14
3,91
0.0,1.0
148,11
3,94
0.0,1.0
148,13
3,92
0.0,1.0
148,10
3,95
0.0,1.0
148,12
3,93
0.0,1.0
148,11
3,94
0.0,1.0
132,13
0,82
0.0,1.0
128,7
4,88
0.0,1.0
129,13
3,82
0.0,1.0
129,8
3,87
0.0,1.0
129,12
3,83
0.0,1.0
129,8
3,87
0.0,1.0
129,12
3,83
0.0,1.0
128,10
4,85
0.0,1.0
120,14
0,65
0.0,1.0
114,7
6,72
0.0,1.0
117,13
3,66
0.0,1.0
116,9
4,70
0.0,1.0
116,11
4,68
0.0,1.0
116,8
4,71
0.0,1.0
117,13
3,66
0.0,1.0
116,9
4,70
0.0,1.0
105,12
0,53
0.0,1.0
100,5
5,60
0.0,1.0
102,10
3,55
0.0,1.0
101,7
4,58
0.0,1.0
101,8
4,57
0.0,1.0
101,7
4,58
0.0,1.0
102,11
3,54
0.0,1.0
100,8
5,57
0.0,1.0
93,12
0,37
0.0,1.0
89,6
4,43
0.0,1.0
92,9
1,40
0.0,1.0
89,7
4,42
0.0,1.0
91,11
2,38
0.0,1.0
90,8
3,41
0.0,1.0
91,12
2,37
0.0,1.0
88,7
5,42
0.0,1.0
74,10
0,29
0.0,1.0
72,3
2,36
0.0,1.0
72,6
2,33
0.0,1.0
72,6
2,33
0.0,1.0
72,10
2,29
0.0,1.0
69,6
5,33
0.0,1.0
71,8
3,31
0.0,1.0
70,5
4,34
0.0,1.0
54,7
0,24
0.0,1.0
53,3
1,28
0.0,1.0
53,6
1,25
0.0,1.0
51,4
3,27
0.0,1.0
51,8
3,23
0.0,1.0
49,4
5,27
0.0,1.0
51,6
3,25
0.0,1.0
51,4
3,27
0.0,1.0
36,4
0,16
0.0,1.0
35,3
1,17
0.0,1.0
35,3
1,17
0.0,1.0
35,2
1,18
0.0,1.0
35,2
1,18
0.0,1.0
32,2
4,18
0.0,1.0
34,4
2,16
0.0,1.0
32,3
4,17
0.0,1.0
16,3
0,9
0.0,1.0
15,2
1,10
0.0,1.0
16,3
0,9
0.0,1.0
13,1
3,11
0.0,1.0
14,2
2,10
0.0,1.0
12,1
4,11
0.0,1.0
14,3
2,9
0.0,1.0
13,1
3,11
