0.0,1.0
343,26
0,171
0.0,1.0
337,16
6,181
0.0,1.0
341,22
2,175
0.0,1.0
335,18
8,179
0.0,1.0
338,23
5,174
0.0,1.0
332,19
11,178
0.0,1.0
333,23
10,174
0.0,1.0
331,21
12,176
0.0,1.0
325,22
0,165
0.0,1.0
319,15
6,172
0.0,1.0
324,20
1,167
0.0,1.0
320,16
5,171
0.0,1.0
321,22
4,165
0.0,1.0
315,18
10,169
0.0,1.0
318,23
7,164
0.0,1.0
315,18
10,169
0.0,1.0
305,22
0,156
0.0,1.0
296,14
9,164
0.0,1.0
304,18
1,160
0.0,1.0
299,14
6,164
0.0,1.0
300,19
5,159
0.0,1.0
295,17
10,161
0.0,1.0
297,20
8,158
0.0,1.0
296,17
9,161
0.0,1.0
290,19
0,146
0.0,1.0
282,10
8,155
0.0,1.0
289,16
1,149
0.0,1.0
284,13
6,152
0.0,1.0
286,20
4,145
0.0,1.0
280,15
10,150
0.0,1.0
283,19
7,146
0.0,1.0
281,16
9,149
0.0,1.0
271,20
0,135
0.0,1.0
264,10
7,145
0.0,1.0
270,18
1,137
0.0,1.0
263,14
8,141
0.0,1.0
265,18
6,137
0.0,1.0
262,16
9,139
0.0,1.0
265,19
6,136
0.0,1.0
264,15
7,140
0.0,1.0
253,19
0,126
0.0,1.0
247,9
6,136
0.0,1.0
252,17
1,128
0.0,1.0
245,14
8,131
0.0,1.0
247,17
6,128
0.0,1.0
244,14
9,131
0.0,1.0
247,17
6,128
0.0,1.0
245,14
8,131
0.0,1.0
235,18
0,116
0.0,1.0
229,9
6,125
0.0,1.0
234,17
1,117
0.0,1.0
228,13
7,121
0.0,1.0
229,17
6,117
0.0,1.0
227,15
8,119
0.0,1.0
231,17
4,117
0.0,1.0
229,15
6,119
0.0,1.0
213,15
0,113
0.0,1.0
208,7
5,121
0.0,1.0
212,14
1,114
0.0,1.0
206,9
7,119
0.0,1.0
207,14
6,114
0.0,1.0
205,13
8,115
0.0,1.0
210,15
3,113
0.0,1.0
207,13
6,115
0.0,1.0
190,12
0,110
0.0,1.0
186,6
4,116
0.0,1.0
189,12
1,110
0.0,1.0
184,8
6,114
0.0,1.0
185,13
5,109
0.0,1.0
182,12
8,110
0.0,1.0
187,14
3,108
0.0,1.0
185,12
5,110
0.0,1.0
170,12
0,102
0.0,1.0
165,5
5,109
0.0,1.0
168,10
2,104
0.0,1.0
165,8
5,106
0.0,1.0
166,14
4,100
0.0,1.0
163,9
7,105
0.0,1.0
165,10
5,104
0.0,1.0
165,10
5,104
0.0,1.0
152,11
0,93
0.0,1.0
148,4
4,100
0.0,1.0
150,10
2,94
0.0,1.0
147,6
5,98
0.0,1.0
149,9
3,95
0.0,1.0
147,6
5,98
0.0,1.0
148,8
4,96
0.0,1.0
148,7
4,97
0.0,1.0
134,9
0,84
0.0,1.0
131,6
3,87
0.0,1.0
133,9
1,84
0.0,1.0
132,7
2,86
0.0,1.0
132,8
2,85
0.0,1.0
131,6
3,87
0.0,1.0
132,8
2,85
0.0,1.0
131,6
3,87
0.0,1.0
114,9
0,76
0.0,1.0
112,6
2,79
0.0,1.0
113,8
1,77
0.0,1.0
112,7
2,78
0.0,1.0
112,8
2,77
0.0,1.0
111,6
3,79
0.0,1.0
112,6
2,79
0.0,1.0
111,6
3,79
0.0,1.0
101,8
0,61
0.0,1.0
99,6
2,63
0.0,1.0
101,7
0,62
0.0,1.0
100,4
1,65
0.0,1.0
100,5
1,64
0.0,1.0
99,5
2,64
0.0,1.0
99,5
2,64
0.0,1.0
99,5
2,64
0.0,1.0
83,8
0,51
0.0,1.0
81,5
2,54
0.0,1.0
83,7
0,52
0.0,1.0
82,3
1,56
0.0,1.0
82,5
1,54
0.0,1.0
81,4
2,55
0.0,1.0
81,6
2,53
0.0,1.0
81,4
2,55
0.0,1.0
63,7
0,43
0.0,1.0
61,5
2,45
0.0,1.0
63,6
0,44
0.0,1.0
62,3
1,47
0.0,1.0
62,6
1,44
0.0,1.0
61,4
2,46
0.0,1.0
61,6
2,44
0.0,1.0
61,5
2,45
0.0,1.0
49,5
0,31
0.0,1.0
48,4
1,32
0.0,1.0
49,7
0,29
0.0,1.0
48,3
1,33
0.0,1.0
48,3
1,33
0.0,1.0
48,3
1,33
0.0,1.0
48,7
1,29
0.0,1.0
48,7
1,29
0.0,1.0
32,2
0,22
0.0,1.0
32,2
0,22
0.0,1.0
32,5
0,19
0.0,1.0
31,5
1,19
0.0,1.0
32,5
0,19
0.0,1.0
31,4
1,20
0.0,1.0
32,5
0,19
0.0,1.0
31,3
1,21
0.0,1.0
15,2
0,11
0.0,1.0
14,1
1,12
0.0,1.0
15,4
0,9
0.0,1.0
12,0
3,13
0.0,1.0
13,1
2,12
0.0,1.0
12,1
3,12
0.0,1.0
13,1
2,12
0.0,1.0
12,1
3,12
