1,2,3
28,18,2
0,5943,110
0,0,71
1,2,3
3,2,2
25,5945,95
0,14,86
1,2,3
0,0,0
28,5958,154
0,3,29
1,2,3
0,0,0
28,5947,151
0,14,32
1,2,3
0,0,0
28,5957,165
0,4,18
1,2,3
0,0,0
28,5953,161
0,8,22
1,2,3
0,0,0
28,5956,166
0,5,17
1,2,3
0,0,0
28,5952,163
0,9,20
1,2,3
24,15,2
0,5632,108
0,0,66
1,2,3
3,2,2
21,5634,93
0,11,81
1,2,3
0,0,0
24,5644,147
0,3,29
1,2,3
0,0,0
24,5634,144
0,13,32
1,2,3
0,0,0
24,5642,157
0,5,19
1,2,3
0,0,0
24,5636,153
0,11,23
1,2,3
0,0,0
24,5641,159
0,6,17
1,2,3
0,0,0
24,5638,156
0,9,20
1,2,3
22,11,2
0,5322,106
0,0,59
1,2,3
2,1,2
20,5323,92
0,9,73
1,2,3
0,0,0
22,5331,142
0,2,25
1,2,3
0,0,0
22,5322,137
0,11,30
1,2,3
0,0,0
22,5328,148
0,5,19
1,2,3
0,0,0
22,5322,144
0,11,23
1,2,3
0,0,0
22,5329,153
0,4,14
1,2,3
0,0,0
22,5325,150
0,8,17
1,2,3
19,11,2
0,5009,103
0,0,53
1,2,3
2,1,2
17,5009,90
0,10,66
1,2,3
0,0,0
19,5017,135
0,3,23
1,2,3
0,0,0
19,5008,130
0,12,28
1,2,3
0,0,0
19,5015,142
0,5,16
1,2,3
0,0,0
19,5009,137
0,11,21
1,2,3
0,0,0
19,5015,145
0,5,13
1,2,3
0,0,0
19,5012,142
0,8,16
1,2,3
18,7,2
0,4695,100
0,0,50
1,2,3
2,1,2
16,4693,88
0,8,62
1,2,3
0,0,0
18,4699,128
0,3,24
1,2,3
0,0,0
18,4690,125
0,12,27
1,2,3
0,0,0
18,4696,138
0,6,14
1,2,3
0,0,0
18,4692,133
0,10,19
1,2,3
0,0,0
18,4697,137
0,5,15
1,2,3
0,0,0
18,4694,136
0,8,16
1,2,3
17,8,2
0,4381,95
0,0,44
1,2,3
2,1,2
15,4378,86
0,10,53
1,2,3
0,0,0
17,4386,123
0,3,18
1,2,3
0,0,0
17,4378,120
0,11,21
1,2,3
0,0,0
17,4383,131
0,6,10
1,2,3
0,0,0
17,4380,126
0,9,15
1,2,3
0,0,0
17,4388,138
0,1,3
1,2,3
0,0,0
17,4387,137
0,2,4
1,2,3
16,8,1
0,4068,90
0,0,40
1,2,3
2,1,1
14,4064,84
0,11,46
1,2,3
0,0,0
16,4073,117
0,3,14
1,2,3
0,0,0
16,4064,114
0,12,17
1,2,3
0,0,0
16,4072,119
0,4,12
1,2,3
0,0,0
16,4071,118
0,5,13
1,2,3
0,0,0
16,4075,128
0,1,3
1,2,3
0,0,0
16,4074,127
0,2,4
1,2,3
15,8,1
0,3751,86
0,0,37
1,2,3
2,1,1
13,3746,80
0,12,43
1,2,3
0,0,0
15,3756,110
0,3,14
1,2,3
0,0,0
15,3748,107
0,11,17
1,2,3
0,0,0
15,3755,113
0,4,11
1,2,3
0,0,0
15,3753,111
0,6,13
1,2,3
0,0,0
15,3758,122
0,1,2
1,2,3
0,0,0
15,3757,122
0,2,2
1,2,3
14,8,1
0,3439,79
0,0,32
1,2,3
1,1,1
13,3438,72
0,8,39
1,2,3
0,0,0
14,3446,98
0,1,14
1,2,3
0,0,0
14,3441,97
0,6,15
1,2,3
0,0,0
14,3444,104
0,3,8
1,2,3
0,0,0
14,3443,103
0,4,9
1,2,3
0,0,0
14,3446,110
0,1,2
1,2,3
0,0,0
14,3446,109
0,1,3
1,2,3
14,7,1
0,3123,75
0,0,28
1,2,3
1,1,1
13,3121,69
0,8,34
1,2,3
0,0,0
14,3129,92
0,1,12
1,2,3
0,0,0
14,3124,91
0,6,13
1,2,3
0,0,0
14,3127,95
0,3,9
1,2,3
0,0,0
14,3125,95
0,5,9
1,2,3
0,0,0
14,3129,101
0,1,3
1,2,3
0,0,0
14,3129,101
0,1,3
1,2,3
12,5,1
0,2814,69
0,0,22
1,2,3
1,1,1
11,2810,65
0,8,26
1,2,3
0,0,0
12,2817,81
0,2,11
1,2,3
0,0,0
12,2814,81
0,5,11
1,2,3
0,0,0
12,2818,87
0,1,5
1,2,3
0,0,0
12,2818,87
0,1,5
1,2,3
0,0,0
12,2818,89
0,1,3
1,2,3
0,0,0
12,2818,88
0,1,4
1,2,3
10,5,1
0,2502,60
0,0,20
1,2,3
1,1,1
9,2498,56
0,8,24
1,2,3
0,0,0
10,2505,74
0,2,7
1,2,3
0,0,0
10,2505,74
0,2,7
1,2,3
0,0,0
10,2506,79
0,1,2
1,2,3
0,0,0
10,2506,78
0,1,3
1,2,3
0,0,0
10,2507,81
0,0,0
1,2,3
0,0,0
10,2507,81
0,0,0
1,2,3
8,3,0
0,2191,54
0,0,17
1,2,3
0,0,0
8,2188,50
0,6,21
1,2,3
0,0,0
8,2193,67
0,1,4
1,2,3
0,0,0
8,2193,67
0,1,4
1,2,3
0,0,0
8,2193,69
0,1,2
1,2,3
0,0,0
8,2193,68
0,1,3
1,2,3
0,0,0
8,2194,71
0,0,0
1,2,3
0,0,0
8,2194,71
0,0,0
1,2,3
7,1,0
