1,2,3
30,16,2
0,5939,111
0,0,74
1,2,3
3,2,2
27,5930,95
0,23,90
1,2,3
0,0,0
30,5952,160
0,3,27
1,2,3
0,0,0
30,5945,154
0,10,33
1,2,3
0,0,0
30,5952,174
0,3,13
1,2,3
0,0,0
30,5951,172
0,4,15
1,2,3
0,0,0
30,5952,174
0,3,13
1,2,3
0,0,0
30,5950,172
0,5,15
1,2,3
26,12,1
0,5628,114
0,0,66
1,2,3
2,2,1
24,5616,100
0,22,80
1,2,3
0,0,0
26,5636,154
0,4,27
1,2,3
0,0,0
26,5632,148
0,8,33
1,2,3
0,0,0
26,5638,168
0,2,13
1,2,3
0,0,0
26,5637,166
0,3,15
1,2,3
0,0,0
26,5637,170
0,3,11
1,2,3
0,0,0
26,5636,167
0,4,14
1,2,3
25,12,1
0,5311,112
0,0,61
1,2,3
2,2,1
23,5298,97
0,23,76
1,2,3
0,0,0
25,5319,147
0,4,27
1,2,3
0,0,0
25,5313,143
0,10,31
1,2,3
0,0,0
25,5320,164
0,3,10
1,2,3
0,0,0
25,5319,159
0,4,15
1,2,3
0,0,0
25,5320,165
0,3,9
1,2,3
0,0,0
25,5318,163
0,5,11
1,2,3
25,11,1
0,4997,102
0,0,61
1,2,3
2,2,1
23,4981,90
0,25,73
1,2,3
0,0,0
25,5004,136
0,4,28
1,2,3
0,0,0
25,4998,133
0,10,31
1,2,3
0,0,0
25,5005,154
0,3,10
1,2,3
0,0,0
25,5004,149
0,4,15
1,2,3
0,0,0
25,5005,155
0,3,9
1,2,3
0,0,0
25,5003,153
0,5,11
1,2,3
25,13,1
0,4681,97
0,0,55
1,2,3
2,2,1
23,4671,88
0,21,64
1,2,3
0,0,0
25,4692,132
0,2,21
1,2,3
0,0,0
25,4688,130
0,6,23
1,2,3
0,0,0
25,4691,145
0,3,8
1,2,3
0,0,0
25,4691,143
0,3,10
1,2,3
0,0,0
25,4692,146
0,2,7
1,2,3
0,0,0
25,4689,146
0,5,7
1,2,3
25,14,1
0,4366,91
0,0,50
1,2,3
2,2,1
23,4357,82
0,21,59
1,2,3
0,0,0
25,4377,122
0,3,20
1,2,3
0,0,0
25,4374,120
0,6,22
1,2,3
0,0,0
25,4377,135
0,3,7
1,2,3
0,0,0
25,4377,133
0,3,9
1,2,3
0,0,0
25,4378,136
0,2,6
1,2,3
0,0,0
25,4375,136
0,5,6
1,2,3
24,13,1
0,4050,88
0,0,47
1,2,3
2,2,1
22,4040,80
0,21,55
1,2,3
0,0,0
24,4061,117
0,2,19
1,2,3
0,0,0
24,4057,116
0,6,20
1,2,3
0,0,0
24,4061,130
0,2,6
1,2,3
0,0,0
24,4059,128
0,4,8
1,2,3
0,0,0
24,4059,130
0,4,6
1,2,3
0,0,0
24,4058,130
0,5,6
1,2,3
23,8,0
0,3740,83
0,0,44
1,2,3
1,0,0
22,3731,76
0,17,51
1,2,3
0,0,0
22,3747,111
1,1,16
1,2,3
0,0,0
23,3743,110
0,5,17
1,2,3
0,0,0
23,3746,121
0,2,6
1,2,3
0,0,0
23,3744,119
0,4,8
1,2,3
0,0,0
23,3744,121
0,4,6
1,2,3
0,0,0
23,3743,121
0,5,6
1,2,3
21,7,0
0,3425,80
0,0,40
1,2,3
0,0,0
21,3417,73
0,15,47
1,2,3
0,0,0
21,3431,106
0,1,14
1,2,3
0,0,0
21,3425,102
0,7,18
1,2,3
0,0,0
21,3430,114
0,2,6
1,2,3
0,0,0
21,3428,111
0,4,9
1,2,3
0,0,0
21,3428,114
0,4,6
1,2,3
0,0,0
21,3427,114
0,5,6
1,2,3
19,8,0
0,3109,77
0,0,35
1,2,3
0,0,0
19,3102,70
0,15,42
1,2,3
0,0,0
19,3115,99
0,2,13
1,2,3
0,0,0
19,3111,94
0,6,18
1,2,3
0,0,0
19,3115,105
0,2,7
1,2,3
0,0,0
19,3113,103
0,4,9
1,2,3
0,0,0
19,3114,106
0,3,6
1,2,3
0,0,0
19,3113,106
0,4,6
1,2,3
17,10,0
0,2794,74
0,0,28
1,2,3
0,1,0
17,2788,70
0,15,32
1,2,3
0,0,0
17,2802,93
0,2,9
1,2,3
0,0,0
17,2798,91
