1,2,3
30,18,2
0,5935,113
0,0,74
1,2,3
3,2,2
27,5930,96
0,21,91
1,2,3
0,0,0
30,5949,159
0,4,30
1,2,3
0,0,0
30,5941,154
0,12,35
1,2,3
0,0,0
30,5948,170
0,5,19
1,2,3
0,0,0
30,5945,168
0,8,21
1,2,3
0,0,0
30,5948,170
0,5,19
1,2,3
0,0,0
30,5943,167
0,10,22
1,2,3
29,17,2
0,5621,114
0,0,64
1,2,3
3,2,2
26,5616,98
0,20,80
1,2,3
0,0,0
29,5634,153
0,4,27
1,2,3
0,0,0
29,5628,151
0,10,29
1,2,3
0,0,0
29,5633,163
0,5,17
1,2,3
0,0,0
29,5632,161
0,6,19
1,2,3
0,0,0
29,5634,165
0,4,15
1,2,3
0,0,0
29,5628,161
0,10,19
1,2,3
26,13,2
0,5314,110
0,0,57
1,2,3
3,2,2
23,5307,96
0,18,71
1,2,3
0,0,0
26,5323,147
0,4,22
1,2,3
0,0,0
26,5319,145
0,8,24
1,2,3
0,0,0
26,5322,156
0,5,13
1,2,3
0,0,0
26,5319,153
0,8,16
1,2,3
0,0,0
26,5320,156
0,7,13
1,2,3
0,0,0
26,5317,153
0,10,16
1,2,3
24,10,1
0,5010,99
0,0,53
1,2,3
2,1,1
22,5003,85
0,16,67
1,2,3
0,0,0
24,5016,132
0,4,21
1,2,3
0,0,0
24,5011,131
0,9,22
1,2,3
0,0,0
24,5015,140
0,5,13
1,2,3
0,0,0
24,5012,137
0,8,16
1,2,3
0,0,0
24,5013,140
0,7,13
1,2,3
0,0,0
24,5010,137
0,10,16
1,2,3
24,10,1
0,4691,97
0,0,49
1,2,3
2,1,1
22,4684,84
0,16,62
1,2,3
0,0,0
24,4698,126
0,3,21
1,2,3
0,0,0
24,4693,124
0,8,23
1,2,3
0,0,0
24,4697,134
0,4,13
1,2,3
0,0,0
24,4693,131
0,8,16
1,2,3
0,0,0
24,4694,134
0,7,13
1,2,3
0,0,0
24,4691,131
0,10,16
1,2,3
19,9,1
0,4380,98
0,0,40
1,2,3
1,1,1
18,4373,86
0,15,52
1,2,3
0,0,0
19,4387,118
0,2,21
1,2,3
0,0,0
19,4382,113
0,7,26
1,2,3
0,0,0
19,4386,123
0,3,16
1,2,3
0,0,0
19,4381,122
0,8,17
1,2,3
0,0,0
19,4381,124
0,8,15
1,2,3
0,0,0
19,4379,123
0,10,16
1,2,3
18,9,1
0,4066,92
0,0,37
1,2,3
1,1,1
17,4061,81
0,13,48
1,2,3
0,0,0
18,4073,109
0,2,21
1,2,3
0,0,0
18,4068,103
0,7,27
1,2,3
0,0,0
18,4072,114
0,3,16
1,2,3
0,0,0
18,4067,113
0,8,17
1,2,3
0,0,0
18,4067,115
0,8,15
1,2,3
0,0,0
18,4064,114
0,11,16
1,2,3
16,8,1
0,3756,83
0,0,34
1,2,3
1,1,1
15,3754,76
0,9,41
1,2,3
0,0,0
16,3763,102
0,1,16
1,2,3
0,0,0
16,3757,94
0,7,24
1,2,3
0,0,0
16,3760,106
0,4,12
1,2,3
0,0,0
16,3754,106
0,10,12
1,2,3
0,0,0
16,3754,107
0,10,11
1,2,3
0,0,0
16,3752,106
0,12,12
