1,2,3
29,17,2
0,5940,113
0,0,71
1,2,3
3,2,2
26,5938,98
0,17,86
1,2,3
0,0,0
29,5954,157
0,3,29
1,2,3
0,0,0
29,5947,153
0,10,33
1,2,3
0,0,0
29,5953,169
0,4,17
1,2,3
0,0,0
29,5949,168
0,8,18
1,2,3
0,0,0
29,5952,171
0,5,15
1,2,3
0,0,0
29,5948,168
0,9,18
1,2,3
26,15,2
0,5630,106
0,0,68
1,2,3
2,1,2
24,5628,93
0,16,81
1,2,3
0,0,0
26,5642,152
0,3,24
1,2,3
0,0,0
26,5635,147
0,10,29
1,2,3
0,0,0
26,5640,160
0,5,16
1,2,3
0,0,0
26,5638,158
0,7,18
1,2,3
0,0,0
26,5640,161
0,5,15
1,2,3
0,0,0
26,5636,160
0,9,16
1,2,3
25,12,2
0,5320,103
0,0,60
1,2,3
2,1,2
23,5321,94
0,10,69
1,2,3
0,0,0
25,5329,142
0,3,23
1,2,3
0,0,0
25,5321,140
0,11,25
1,2,3
0,0,0
25,5327,151
0,5,14
1,2,3
0,0,0
25,5324,150
0,8,15
1,2,3
0,0,0
25,5328,151
0,4,14
1,2,3
0,0,0
25,5324,151
0,8,14
1,2,3
25,10,2
0,5004,97
0,0,59
1,2,3
2,1,2
23,5001,89
0,12,67
1,2,3
0,0,0
25,5010,136
0,4,22
1,2,3
0,0,0
25,5003,134
0,11,24
1,2,3
0,0,0
25,5009,144
0,5,14
1,2,3
0,0,0
25,5004,141
0,10,17
1,2,3
0,0,0
25,5010,144
0,4,14
1,2,3
0,0,0
25,5006,144
0,8,14
1,2,3
24,9,2
0,4690,91
0,0,56
1,2,3
2,1,2
22,4686,83
0,12,64
1,2,3
0,0,0
24,4695,129
0,4,20
1,2,3
0,0,0
24,4689,127
0,10,22
1,2,3
0,0,0
24,4693,135
0,6,14
1,2,3
0,0,0
24,4687,130
0,12,19
1,2,3
0,0,0
24,4693,135
0,6,14
1,2,3
0,0,0
24,4689,135
0,10,14
1,2,3
22,11,2
0,4375,91
0,0,46
1,2,3
2,2,2
20,4375,83
0,9,54
1,2,3
0,0,0
22,4383,120
0,3,19
1,2,3
0,0,0
22,4378,119
0,8,20
1,2,3
0,0,0
22,4380,126
0,6,13
1,2,3
0,0,0
22,4377,126
0,9,13
1,2,3
0,0,0
22,4380,126
0,6,13
1,2,3
0,0,0
22,4376,126
0,10,13
1,2,3
21,9,2
0,4062,85
0,0,44
1,2,3
2,3,2
19,4059,78
0,9,51
1,2,3
0,0,0
21,4068,113
0,3,18
1,2,3
0,0,0
21,4063,112
0,8,19
1,2,3
0,0,0
21,4066,119
0,5,12
1,2,3
0,0,0
21,4063,119
0,8,12
1,2,3
0,0,0
21,4067,123
0,4,8
1,2,3
0,0,0
21,4064,123
0,7,8
1,2,3
21,9,1
0,3746,81
0,0,40
1,2,3
1,2,1
20,3745,76
0,8,45
1,2,3
0,0,0
21,3753,105
0,2,17
1,2,3
0,0,0
21,3748,104
0,7,18
1,2,3
0,0,0
21,3751,111
0,4,11
1,2,3
0,0,0
21,3748,111
0,7,11
1,2,3
0,0,0
21,3751,115
0,4,7
1,2,3
0,0,0
21,3749,115
0,6,7
1,2,3
21,10,1
0,3429,74
0,0,38
1,2,3
1,2,1
20,3430,69
0,7,43
1,2,3
0,0,0
21,3438,100
0,1,13
1,2,3
0,0,0
21,3432,99
0,7,14
1,2,3
0,0,0
21,3435,106
0,4,7
1,2,3
0,0,0
21,3434,106
0,5,7
1,2,3
0,0,0
21,3434,106
0,5,7
1,2,3
0,0,0
21,3430,106
0,9,7
1,2,3
20,11,1
0,3112,74
0,0,30
1,2,3
1,2,1
