1,2,3
27,18,2
0,5940,111
0,0,74
1,2,3
3,2,2
24,5936,93
0,20,92
1,2,3
0,0,0
27,5955,157
0,3,30
1,2,3
0,0,0
27,5947,152
0,11,35
1,2,3
0,0,0
27,5953,169
0,5,18
1,2,3
0,0,0
27,5952,169
0,6,18
1,2,3
0,0,0
27,5953,169
0,5,18
1,2,3
0,0,0
27,5949,167
0,9,20
1,2,3
22,12,1
0,5636,106
0,0,70
1,2,3
2,1,1
20,5631,91
0,16,85
1,2,3
0,0,0
22,5646,151
0,2,26
1,2,3
0,0,0
22,5637,149
0,11,28
1,2,3
0,0,0
22,5644,161
0,4,16
1,2,3
0,0,0
22,5642,160
0,6,17
1,2,3
0,0,0
22,5645,161
0,3,16
1,2,3
0,0,0
22,5642,159
0,6,18
1,2,3
22,11,1
0,5317,107
0,0,64
1,2,3
2,1,1
20,5309,90
0,18,81
1,2,3
0,0,0
22,5325,146
0,3,26
1,2,3
0,0,0
22,5317,145
0,11,27
1,2,3
0,0,0
22,5324,157
0,4,15
1,2,3
0,0,0
22,5319,154
0,9,18
1,2,3
0,0,0
22,5325,157
0,3,15
1,2,3
0,0,0
22,5321,155
0,7,17
1,2,3
21,10,1
0,5005,100
0,0,60
1,2,3
2,1,1
19,4995,86
0,19,74
1,2,3
0,0,0
21,5013,139
0,2,22
1,2,3
0,0,0
21,5007,138
0,8,23
1,2,3
0,0,0
21,5011,147
0,4,14
1,2,3
0,0,0
21,5010,147
0,5,14
1,2,3
0,0,0
21,5014,151
0,1,10
1,2,3
0,0,0
21,5011,150
0,4,11
1,2,3
20,13,1
0,4687,93
0,0,58
1,2,3
2,1,1
18,4680,80
0,19,71
1,2,3
0,0,0
20,4698,132
0,2,20
1,2,3
0,0,0
20,4691,131
0,9,21
1,2,3
0,0,0
20,4697,140
0,3,12
1,2,3
0,0,0
20,4697,140
0,3,12
1,2,3
0,0,0
20,4700,148
0,0,4
1,2,3
0,0,0
20,4700,147
0,0,5
1,2,3
20,13,2
0,4368,88
0,0,56
1,2,3
2,1,2
18,4363,78
0,17,66
1,2,3
0,0,0
20,4379,128
0,2,18
1,2,3
0,0,0
20,4370,125
0,11,21
1,2,3
0,0,0
20,4378,134
0,3,12
1,2,3
0,0,0
20,4377,133
0,4,13
1,2,3
0,0,0
20,4381,141
0,0,5
1,2,3
0,0,0
20,4381,141
0,0,5
1,2,3
18,13,2
0,4054,87
0,0,49
1,2,3
2,1,2
16,4052,79
0,14,57
1,2,3
0,0,0
18,4064,122
0,3,16
1,2,3
0,0,0
18,4058,118
0,9,20
1,2,3
0,0,0
18,4067,134
0,0,4
1,2,3
0,0,0
18,4067,133
0,0,5
1,2,3
0,0,0
18,4067,133
0,0,5
1,2,3
0,0,0
18,4067,133
0,0,5
1,2,3
