1,2,3
28,15,2
0,5938,113
0,0,76
1,2,3
3,2,2
25,5932,96
0,19,93
1,2,3
0,0,0
28,5949,158
0,4,33
1,2,3
0,0,0
28,5940,153
0,13,38
1,2,3
0,0,0
28,5948,172
0,5,19
1,2,3
0,0,0
28,5946,170
0,7,21
1,2,3
0,0,0
28,5948,172
0,5,19
1,2,3
0,0,0
28,5944,169
0,9,22
1,2,3
26,15,2
0,5622,112
0,0,70
1,2,3
3,2,2
23,5615,95
0,20,87
1,2,3
0,0,0
26,5633,155
0,4,29
1,2,3
0,0,0
26,5626,150
0,11,34
1,2,3
0,0,0
26,5631,165
0,6,19
1,2,3
0,0,0
26,5629,163
0,8,21
1,2,3
0,0,0
26,5631,165
0,6,19
1,2,3
0,0,0
26,5625,164
0,12,20
1,2,3
25,15,2
0,5311,107
0,0,62
1,2,3
3,2,2
22,5308,93
0,16,76
1,2,3
0,0,0
25,5322,143
0,4,28
1,2,3
0,0,0
25,5316,139
0,10,32
1,2,3
0,0,0
25,5319,153
0,7,18
1,2,3
0,0,0
25,5318,150
0,8,21
1,2,3
0,0,0
25,5318,152
0,8,19
1,2,3
0,0,0
25,5313,152
0,13,19
1,2,3
25,15,2
0,4992,102
0,0,61
1,2,3
3,2,2
22,4990,89
0,15,74
1,2,3
0,0,0
25,5003,140
0,4,25
1,2,3
0,0,0
25,4995,137
0,12,28
1,2,3
0,0,0
25,5003,148
0,4,17
1,2,3
0,0,0
25,4997,147
0,10,18
1,2,3
0,0,0
25,4998,148
0,9,17
1,2,3
0,0,0
25,4995,148
0,12,17
1,2,3
22,14,2
0,4682,101
0,0,51
1,2,3
3,2,2
19,4678,88
0,16,64
1,2,3
0,0,0
22,4692,130
0,4,24
1,2,3
0,0,0
22,4687,126
0,9,28
1,2,3
0,0,0
22,4691,139
0,5,15
1,2,3
0,0,0
22,4688,137
0,8,17
1,2,3
0,0,0
22,4693,142
0,3,12
1,2,3
0,0,0
22,4692,142
0,4,12
1,2,3
21,13,1
0,4363,99
0,0,50
1,2,3
2,1,1
19,4361,88
0,14,61
1,2,3
0,0,0
21,4373,128
0,3,22
1,2,3
0,0,0
21,4368,125
0,8,25
1,2,3
0,0,0
21,4372,135
0,4,15
1,2,3
0,0,0
21,4364,132
0,12,18
1,2,3
0,0,0
21,4372,138
0,4,12
1,2,3
0,0,0
21,4371,138
0,5,12
1,2,3
19,13,1
0,4050,98
0,0,42
1,2,3
1,1,1
18,4048,89
0,14,51
1,2,3
0,0,0
19,4060,124
0,3,17
1,2,3
0,0,0
19,4053,121
0,10,20
1,2,3
0,0,0
19,4057,124
0,6,17
1,2,3
0,0,0
19,4052,122
0,11,19
1,2,3
0,0,0
19,4058,128
0,5,13
1,2,3
0,0,0
19,4058,128
0,5,13
1,2,3
17,11,1
0,3745,90
0,0,34
1,2,3
1,1,1
16,3744,80
0,11,44
1,2,3
0,0,0
17,3753,109
0,3,16
1,2,3
0,0,0
17,3749,108
0,7,17
1,2,3
0,0,0
17,3751,110
0,5,15
1,2,3
0,0,0
17,3744,108
0,12,17
1,2,3
0,0,0
17,3752,114
0,4,11
1,2,3
0,0,0
17,3751,114
0,5,11
1,2,3
15,9,1
0,3431,88
0,0,29
1,2,3
1,1,1
14,3430,79
0,9,38
1,2,3
0,0,0
15,3437,103
0,3,15
1,2,3
0,0,0
15,3433,103
0,7,15
1,2,3
0,0,0
15,3435,104
0,5,14
1,2,3
0,0,0
15,3430,103
0,10,15
1,2,3
0,0,0
15,3437,110
0,3,8
1,2,3
0,0,0
15,3436,108
0,4,10
1,2,3
12,4,0
0,3121,82
0,0,29
1,2,3
0,0,0
12,3116,74
0,9,37
1,2,3
0,0,0
12,3122,97
0,3,14
1,2,3
0,0,0
12,3119,97
0,6,14
1,2,3
0,0,0
12,3120,98
0,5,13
1,2,3
0,0,0
12,3117,97
0,8,14
1,2,3
0,0,0
12,3122,103
0,3,8
1,2,3
0,0,0
12,3121,101
0,4,10
1,2,3
12,3,0
0,2806,74
0,0,28
1,2,3
0,0,0
12,2801,66
0,8,36
1,2,3
0,0,0
12,2807,88
0,2,14
1,2,3
0,0,0
12,2800,88
0,9,14
1,2,3
0,0,0
12,2804,89
0,5,13
1,2,3
0,0,0
12,2799,88
0,10,14
1,2,3
0,0,0
12,2805,93
0,4,9
1,2,3
0,0,0
12,2804,91
0,5,11
1,2,3
11,4,0
0,2490,68
0,0,25
1,2,3
0,0,0
11,2485,62
0,9,31
1,2,3
0,0,0
11,2493,81
0,1,12
1,2,3
0,0,0
11,2486,81
0,8,12
1,2,3
0,0,0
11,2489,81
0,5,12
1,2,3
0,0,0
11,2485,80
0,9,13
1,2,3
0,0,0
11,2491,86
0,3,7
1,2,3
0,0,0
11,2490,85
0,4,8
1,2,3
9,3,0
0,2179,63
0,0,19
1,2,3
0,0,0
9,2176,55
0,6,27
1,2,3
0,0,0
9,2181,73
0,1,9
1,2,3
0,0,0
9,2174,69
0,8,13
1,2,3
0,0,0
9,2179,75
0,3,7
1,2,3
0,0,0
9,2178,74
0,4,8
1,2,3
0,0,0
8,2179,77
1,3,5
1,2,3
0,0,0
8,2177,77
1,5,5
1,2,3
6,2,0
0,1864,59
0,0,18
1,2,3
0,0,0
6,1856,51
0,10,26
1,2,3
0,0,0
6,1865,71
0,1,6
1,2,3
0,0,0
6,1859,67
0,7,10
1,2,3
0,0,0
6,1862,69
0,4,8
1,2,3
0,0,0
6,1862,69
0,4,8
1,2,3
0,0,0
6,1863,72
0,3,5
1,2,3
0,0,0
6,1860,72
0,6,5
1,2,3
5,2,0
0,1559,44
0,0,14
1,2,3
0,0,0
5,1551,39
0,10,19
1,2,3
0,0,0
5,1560,52
0,1,6
1,2,3
0,0,0
5,1558,51
0,3,7
1,2,3
0,0,0
5,1559,54
0,2,4
1,2,3
0,0,0
5,1558,54
0,3,4
1,2,3
0,0,0
5,1561,58
0,0,0
1,2,3
0,0,0
5,1561,58
0,0,0
1,2,3
5,2,0
0,1247,39
0,0,6
1,2,3
0,0,0
5,1245,37
0,4,8
1,2,3
0,0,0
5,1249,43
0,0,2
1,2,3
0,0,0
5,1248,42
