1,2,3
26,15,1
0,5945,112
0,0,73
1,2,3
2,1,1
24,5940,99
0,19,86
1,2,3
0,0,0
26,5957,152
0,3,34
1,2,3
0,0,0
26,5945,148
0,15,38
1,2,3
0,0,0
26,5955,167
0,5,19
1,2,3
0,0,0
26,5953,164
0,7,22
1,2,3
0,0,0
26,5954,167
0,6,19
1,2,3
0,0,0
26,5951,166
0,9,20
1,2,3
25,16,1
0,5627,108
0,0,70
1,2,3
2,1,1
23,5621,95
0,21,83
1,2,3
0,0,0
25,5638,146
0,5,33
1,2,3
0,0,0
25,5630,142
0,13,37
1,2,3
0,0,0
25,5640,161
0,3,18
1,2,3
0,0,0
25,5638,158
0,5,21
1,2,3
0,0,0
25,5639,161
0,4,18
1,2,3
0,0,0
25,5635,159
0,8,20
1,2,3
24,16,1
0,5312,102
0,0,67
1,2,3
2,1,1
22,5308,94
0,19,75
1,2,3
0,0,0
24,5323,141
0,5,29
1,2,3
0,0,0
24,5317,140
0,11,30
1,2,3
0,0,0
24,5324,153
0,4,17
1,2,3
0,0,0
24,5321,149
0,7,21
1,2,3
0,0,0
24,5323,153
0,5,17
1,2,3
0,0,0
24,5320,150
0,8,20
1,2,3
22,16,1
0,5005,96
0,0,57
1,2,3
2,1,1
20,5002,89
0,18,64
1,2,3
0,0,0
22,5016,131
0,5,23
1,2,3
0,0,0
22,5010,130
0,11,24
1,2,3
0,0,0
22,5017,141
0,4,13
1,2,3
0,0,0
22,5014,137
0,7,17
1,2,3
0,0,0
22,5016,138
0,5,16
1,2,3
0,0,0
22,5013,138
0,8,16
1,2,3
20,16,1
0,4688,94
0,0,53
1,2,3
2,1,1
18,4685,86
0,18,61
1,2,3
0,0,0
20,4700,128
0,4,20
1,2,3
0,0,0
20,4693,129
0,11,19
1,2,3
0,0,0
20,4701,135
0,3,13
1,2,3
0,0,0
20,4697,131
0,7,17
1,2,3
0,0,0
20,4699,132
0,5,16
1,2,3
0,0,0
20,4695,132
0,9,16
1,2,3
20,15,1
0,4368,94
0,0,49
1,2,3
2,2,1
18,4364,86
0,17,57
1,2,3
0,0,0
20,4379,124
0,4,20
1,2,3
0,0,0
20,4372,125
0,11,19
1,2,3
0,0,0
20,4380,132
0,3,12
1,2,3
0,0,0
