0.0,1.0
340,26
0,174
0.0,1.0
333,17
7,183
0.0,1.0
337,25
3,175
0.0,1.0
333,20
7,180
0.0,1.0
334,24
6,176
0.0,1.0
328,20
12,180
0.0,1.0
330,22
10,178
0.0,1.0
327,20
13,180
0.0,1.0
326,21
0,165
0.0,1.0
319,14
7,172
0.0,1.0
324,21
2,165
0.0,1.0
321,17
5,169
0.0,1.0
321,18
5,168
0.0,1.0
317,16
9,170
0.0,1.0
319,19
7,167
0.0,1.0
316,18
10,168
0.0,1.0
310,19
0,154
0.0,1.0
303,13
7,160
0.0,1.0
308,19
2,154
0.0,1.0
305,15
5,158
0.0,1.0
305,16
5,157
0.0,1.0
301,14
9,159
0.0,1.0
304,17
6,156
0.0,1.0
301,16
9,157
0.0,1.0
294,18
0,143
0.0,1.0
289,12
5,149
0.0,1.0
292,18
2,143
0.0,1.0
290,14
4,147
0.0,1.0
290,15
4,146
0.0,1.0
286,13
8,148
0.0,1.0
288,17
6,144
0.0,1.0
286,16
8,145
0.0,1.0
271,18
0,137
0.0,1.0
266,12
5,143
0.0,1.0
269,18
2,137
0.0,1.0
267,14
4,141
0.0,1.0
267,15
4,140
0.0,1.0
263,13
8,142
0.0,1.0
265,17
6,138
0.0,1.0
263,16
8,139
0.0,1.0
257,16
0,125
0.0,1.0
252,10
5,131
0.0,1.0
255,15
2,126
0.0,1.0
253,11
4,130
0.0,1.0
253,13
4,128
0.0,1.0
250,11
7,130
0.0,1.0
253,14
4,127
0.0,1.0
251,14
6,127
0.0,1.0
241,16
0,112
0.0,1.0
237,10
4,118
0.0,1.0
239,15
2,113
0.0,1.0
237,11
4,117
0.0,1.0
237,14
4,114
0.0,1.0
234,11
7,117
0.0,1.0
238,15
3,113
0.0,1.0
237,14
4,114
0.0,1.0
224,13
0,104
0.0,1.0
220,8
4,109
0.0,1.0
222,12
2,105
0.0,1.0
221,10
3,107
0.0,1.0
221,12
3,105
0.0,1.0
217,10
7,107
0.0,1.0
221,13
3,104
0.0,1.0
220,13
4,104
0.0,1.0
206,13
0,93
0.0,1.0
203,9
3,97
0.0,1.0
204,11
2,95
0.0,1.0
203,9
3,97
0.0,1.0
203,13
3,93
0.0,1.0
200,11
6,95
0.0,1.0
203,14
3,92
0.0,1.0
202,12
4,94
0.0,1.0
188,12
0,84
0.0,1.0
185,7
3,89
0.0,1.0
186,8
2,88
0.0,1.0
184,8
4,88
0.0,1.0
184,9
4,87
0.0,1.0
183,8
5,88
0.0,1.0
186,11
2,85
0.0,1.0
184,11
4,85
0.0,1.0
171,12
0,73
0.0,1.0
168,7
3,78
0.0,1.0
169,10
2,75
0.0,1.0
167,8
4,77
0.0,1.0
168,10
3,75
0.0,1.0
168,10
3,75
0.0,1.0
169,11
2,74
0.0,1.0
167,11
4,74
0.0,1.0
151,13
0,63
0.0,1.0
148,7
3,69
0.0,1.0
149,12
2,64
0.0,1.0
147,9
4,67
0.0,1.0
149,10
2,66
0.0,1.0
149,10
2,66
0.0,1.0
149,11
2,65
0.0,1.0
148,11
3,65
0.0,1.0
137,9
0,53
0.0,1.0
135,6
2,56
0.0,1.0
135,7
2,55
0.0,1.0
134,5
3,57
0.0,1.0
134,7
3,55
0.0,1.0
133,6
4,56
0.0,1.0
134,6
3,56
0.0,1.0
132,6
5,56
0.0,1.0
120,8
0,42
0.0,1.0
118,6
2,44
0.0,1.0
119,6
1,44
0.0,1.0
118,4
2,46
0.0,1.0
118,5
2,45
0.0,1.0
117,4
3,46
0.0,1.0
117,5
3,45
0.0,1.0
116,4
4,46
0.0,1.0
100,8
0,34
0.0,1.0
99,6
1,36
0.0,1.0
99,6
1,36
0.0,1.0
98,4
2,38
0.0,1.0
98,6
2,36
0.0,1.0
97,5
3,37
0.0,1.0
97,6
3,36
0.0,1.0
96,4
4,38
0.0,1.0
75,7
0,31
0.0,1.0
73,3
2,35
0.0,1.0
74,4
1,34
0.0,1.0
72,4
3,34
0.0,1.0
72,4
3,34
0.0,1.0
71,2
4,36
0.0,1.0
72,5
3,33
0.0,1.0
71,4
4,34
0.0,1.0
57,4
0,24
0.0,1.0
55,2
2,26
0.0,1.0
56,4
1,24
0.0,1.0
55,3
2,25
0.0,1.0
56,3
1,25
0.0,1.0
53,2
4,26
0.0,1.0
56,3
1,25
0.0,1.0
53,2
4,26
0.0,1.0
37,5
0,14
0.0,1.0
37,2
0,17
0.0,1.0
37,2
0,17
0.0,1.0
35,2
2,17
0.0,1.0
35,3
2,16
0.0,1.0
35,3
2,16
0.0,1.0
35,3
2,16
0.0,1.0
35,3
2,16
0.0,1.0
18,3
0,7
0.0,1.0
18,1
0,9
0.0,1.0
18,1
0,9
0.0,1.0
16,1
2,9
0.0,1.0
16,1
2,9
0.0,1.0
16,1
2,9
0.0,1.0
16,3
2,7
0.0,1.0
16,3
2,7
