1,2,3
30,18,2
0,5940,105
0,0,77
1,2,3
3,2,2
27,5937,89
0,19,93
1,2,3
0,0,0
30,5954,153
0,4,31
1,2,3
0,0,0
30,5946,150
0,12,34
1,2,3
0,0,0
30,5953,165
0,5,19
1,2,3
0,0,0
30,5950,163
0,8,21
1,2,3
0,0,0
30,5952,165
0,6,19
1,2,3
0,0,0
30,5949,161
0,9,23
1,2,3
28,17,1
0,5628,102
0,0,71
1,2,3
2,2,1
26,5627,86
0,16,87
1,2,3
0,0,0
28,5642,143
0,3,31
1,2,3
0,0,0
28,5634,140
0,11,34
1,2,3
0,0,0
28,5642,155
0,3,19
1,2,3
0,0,0
28,5638,155
0,7,19
1,2,3
0,0,0
28,5639,156
0,6,18
1,2,3
0,0,0
28,5637,153
0,8,21
1,2,3
26,16,1
0,5319,95
0,0,65
1,2,3
2,2,1
24,5317,82
0,16,78
1,2,3
0,0,0
26,5333,131
0,2,30
1,2,3
0,0,0
26,5323,128
0,12,33
1,2,3
0,0,0
26,5331,144
0,4,17
1,2,3
0,0,0
26,5328,143
0,7,18
1,2,3
0,0,0
26,5331,144
0,4,17
1,2,3
0,0,0
26,5328,142
0,7,19
1,2,3
24,13,0
0,5015,87
0,0,58
1,2,3
1,1,1
23,5007,73
0,20,71
1,2,3
0,0,0
24,5024,124
0,4,21
1,2,3
0,0,0
24,5016,121
0,12,24
1,2,3
0,0,0
24,5024,130
0,4,15
1,2,3
0,0,0
24,5022,129
0,6,16
1,2,3
0,0,0
24,5025,136
0,3,9
1,2,3
0,0,0
24,5023,134
0,5,11
1,2,3
22,10,0
0,4707,85
0,0,48
1,2,3
1,1,1
21,4699,73
0,17,59
1,2,3
0,0,0
22,4714,116
0,3,17
1,2,3
0,0,0
22,4708,113
0,9,20
1,2,3
0,0,0
22,4713,119
0,4,14
1,2,3
0,0,0
22,4711,117
0,6,16
1,2,3
0,0,0
22,4714,125
0,3,8
1,2,3
0,0,0
22,4712,123
0,5,10
1,2,3
22,10,0
0,4391,83
0,0,41
1,2,3
1,1,1
21,4383,71
0,17,52
1,2,3
0,0,0
22,4398,113
0,3,11
1,2,3
0,0,0
22,4395,107
0,6,17
1,2,3
0,0,0
22,4399,114
0,2,10
1,2,3
0,0,0
22,4395,112
0,6,12
1,2,3
0,0,0
22,4398,117
0,3,7
1,2,3
0,0,0
22,4396,117
0,5,7
1,2,3
21,11,0
0,4076,78
0,0,37
1,2,3
0,0,0
21,4072,66
0,15,49
1,2,3
0,0,0
21,4084,101
0,3,14
1,2,3
0,0,0
21,4081,98
0,6,17
1,2,3
0,0,0
21,4084,102
0,3,13
1,2,3
0,0,0
21,4082,101
0,5,14
1,2,3
0,0,0
21,4084,108
0,3,7
1,2,3
0,0,0
21,4081,108
0,6,7
1,2,3
20,9,0
0,3761,74
0,0,34
1,2,3
0,0,0
20,3755,65
0,15,43
1,2,3
0,0,0
20,3767,94
0,3,14
1,2,3
0,0,0
20,3764,91
0,6,17
1,2,3
0,0,0
20,3767,94
0,3,14
1,2,3
0,0,0
20,3765,94
0,5,14
1,2,3
0,0,0
20,3767,101
0,3,7
1,2,3
0,0,0
20,3764,101
0,6,7
1,2,3
18,6,0
0,3450,72
0,0,27
1,2,3
0,0,0
18,3443,64
0,13,35
1,2,3
0,0,0
18,3455,90
0,1,9
1,2,3
0,0,0
18,3451,89
0,5,10
1,2,3
0,0,0
18,3455,91
0,1,8
1,2,3
0,0,0
18,3453,91
0,3,8
1,2,3
0,0,0
18,3454,94
0,2,5
1,2,3
0,0,0
18,3453,94
0,3,5
1,2,3
13,5,0
0,3136,69
0,0,25
1,2,3
0,0,0
13,3130,62
0,11,32
1,2,3
0,0,0
13,3140,85
0,1,9
1,2,3
0,0,0
13,3136,84
0,5,10
1,2,3
0,0,0
13,3140,86
0,1,8
1,2,3
0,0,0
13,3138,86
0,3,8
1,2,3
0,0,0
13,3139,89
0,2,5
1,2,3
0,0,0
13,3138,89
0,3,5
1,2,3
11,7,0
0,2820,64
0,0,21
1,2,3
0,0,0
11,2817,59
0,10,26
1,2,3
0,0,0
11,2826,75
0,1,10
1,2,3
0,0,0
11,2822,74
0,5,11
1,2,3
0,0,0
11,2825,77
0,2,8
1,2,3
0,0,0
11,2821,77
0,6,8
1,2,3
0,0,0
11,2824,80
0,3,5
1,2,3
0,0,0
11,2823,80
0,4,5
1,2,3
9,5,0
0,2505,63
0,0,16
1,2,3
1,0,0
8,2502,57
0,8,22
1,2,3
0,0,0
9,2509,70
0,1,9
1,2,3
0,0,0
9,2505,69
0,5,10
1,2,3
0,0,0
9,2508,72
0,2,7
1,2,3
0,0,0
9,2506,72
0,4,7
1,2,3
0,0,0
9,2510,79
0,0,0
1,2,3
0,0,0
9,2510,79
0,0,0
1,2,3
8,5,0
0,2192,57
0,0,11
1,2,3
0,0,0
8,2188,50
0,9,18
1,2,3
0,0,0
8,2196,63
0,1,5
1,2,3
0,0,0
8,2195,63
0,2,5
1,2,3
0,0,0
8,2197,68
0,0,0
1,2,3
0,0,0
8,2197,68
0,0,0
1,2,3
0,0,0
8,2197,68
0,0,0
1,2,3
0,0,0
8,2197,68
0,0,0
1,2,3
5,2,0
0,1882,50
0,0,10
1,2,3
0,0,0
5,1876,46
0,8,14
1,2,3
0,0,0
5,1883,58
0,1,2
1,2,3
0,0,0
5,1882,57
0,2,3
1,2,3
0,0,0
5,1884,60
0,0,0
1,2,3
0,0,0
5,1884,60
0,0,0
1,2,3
0,0,0
5,1884,60
0,0,0
1,2,3
0,0,0
5,1884,60
0,0,0
1,2,3
4,3,0
0,1571,39
0,0,7
1,2,3
0,0,0
4,1571,34
0,3,12
1,2,3
0,0,0
4,1574,46
0,0,0
1,2,3
0,0,0
4,1574,45
0,0,1
1,2,3
0,0,0
4,1574,46
0,0,0
1,2,3
0,0,0
4,1574,46
0,0,0
1,2,3
0,0,0
4,1574,46
0,0,0
1,2,3
0,0,0
4,1574,46
0,0,0
1,2,3
4,3,0
0,1257,29
0,0,6
1,2,3
0,0,0
4,1258,27
0,2,8
1,2,3
0,0,0
4,1260,35
0,0,0
1,2,3
0,0,0
4,1260,35
0,0,0
1,2,3
0,0,0
4,1260,35
0,0,0
1,2,3
0,0,0
4,1259,35
0,1,0
1,2,3
0,0,0
4,1260,35
0,0,0
1,2,3
0,0,0
4,1260,35
0,0,0
1,2,3
3,2,0
0,943,24
0,0,2
1,2,3
0,0,0
3,944,24
0,1,2
1,2,3
0,0,0
3,945,26
0,0,0
1,2,3
0,0,0
3,945,26
0,0,0
1,2,3
0,0,0
3,945,26
0,0,0
1,2,3
0,0,0
3,945,26
0,0,0
1,2,3
0,0,0
3,945,26
0,0,0
1,2,3
0,0,0
3,945,26
0,0,0
1,2,3
3,2,0
0,630,14
0,0,0
1,2,3
0,0,0
3,632,14
0,0,0
1,2,3
0,0,0
3,632,14
0,0,0
1,2,3
0,0,0
3,632,14
0,0,0
1,2,3
0,0,0
3,632,14
0,0,0
1,2,3
0,0,0
3,632,14
0,0,0
1,2,3
0,0,0
3,632,14
0,0,0
1,2,3
0,0,0
3,632,14
0,0,0
1,2,3
2,2,0
0,313,7
0,0,0
1,2,3
0,0,0
2,315,7
0,0,0
1,2,3
0,0,0
2,315,7
0,0,0
1,2,3
0,0,0
2,315,7
0,0,0
1,2,3
0,0,0
2,315,7
0,0,0
1,2,3
0,0,0
2,315,7
0,0,0
1,2,3
0,0,0
2,315,7
0,0,0
1,2,3
0,0,0
2,315,7
0,0,0
