3,4,5,6,7,8,9
7,51,473,308,33,2,0
7,63,715,531,90,12,0
5,16,131,181,45,11,0
7,70,641,1377,653,114,0
0,5,55,278,192,42,3
0,1,6,29,11,6,0
0,0,0,0,0,0,1
3,4,5,6,7,8,9
6,28,457,420,78,19,0
4,32,364,207,23,0,0
5,54,586,471,79,9,0
6,52,346,685,237,36,0
0,16,138,634,407,77,0
1,9,22,157,146,32,3
0,0,0,0,0,0,1
3,4,5,6,7,8,9
2,32,187,210,83,10,0
3,21,110,78,9,0,0
6,55,705,570,68,6,0
5,56,676,1109,478,82,0
2,14,115,449,262,62,3
2,1,13,31,4,2,0
0,0,0,0,0,0,1
3,4,5,6,7,8,9
6,84,541,518,139,15,0
1,12,49,61,20,7,0
8,45,777,933,263,43,0
4,21,275,581,251,52,0
1,3,48,187,148,26,2
0,2,4,22,35,9,0
0,0,0,1,1,0,2
3,4,5,6,7,8,9
1,10,32,20,8,0,0
1,11,157,122,5,0,0
2,15,343,297,52,14,0
10,86,763,969,275,53,0
3,33,286,747,464,81,2
1,1,2,1,0,0,0
0,0,0,1,1,1,2
3,4,5,6,7,8,9
4,17,57,46,16,3,0
1,14,175,122,4,0,0
4,38,549,490,109,19,0
6,46,500,669,191,36,0
0,14,170,666,428,76,2
1,14,19,28,2,6,0
0,0,0,1,1,1,2
3,4,5,6,7,8,9
4,18,323,309,60,17,0
0,0,0,0,0,0,0
7,65,684,498,52,5,0
4,45,338,944,430,63,0
0,0,10,146,154,44,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
4,18,301,287,57,16,0
0,0,0,0,0,0,0
6,64,634,452,47,4,0
4,40,312,874,389,58,0
0,1,9,138,142,38,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
4,18,279,258,51,14,0
0,0,0,0,0,0,0
6,57,584,413,43,4,0
4,34,285,795,355,50,0
0,0,9,132,135,40,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
3,17,257,234,49,14,0
0,0,0,0,0,0,0
4,44,506,347,32,2,0
6,39,279,742,339,45,0
0,0,9,118,122,37,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
2,14,228,217,45,13,0
0,0,0,0,0,0,0
4,40,453,313,29,2,0
5,35,247,662,313,45,0
0,0,7,104,111,32,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
1,14,203,201,38,11,0
0,0,0,0,0,0,0
6,39,418,287,32,3,0
3,27,205,563,265,36,0
0,0,7,100,106,31,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
0,13,168,147,32,10,0
0,0,0,0,0,0,0
6,33,387,307,43,3,0
3,20,173,455,222,29,0
0,0,5,88,99,28,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
0,10,145,134,25,8,0
0,0,0,0,0,0,0
4,21,265,153,16,3,0
4,21,217,497,213,25,0
0,0,5,72,87,22,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
0,2,44,41,2,0,0
0,0,0,0,0,0,0
1,25,335,260,39,9,0
1,15,149,394,222,38,0
2,3,8,12,19,2,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
0,11,146,76,8,0,0
0,0,0,0,0,0,0
0,1,15,19,8,0,0
3,20,267,471,201,37,0
0,0,2,4,8,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,20,251,226,47,9,0
1,5,78,196,123,16,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,13,189,162,29,8,0
0,3,36,120,75,12,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4,5,6,7,8,9
0,0,1,0,0,0
7,95,75,12,5,0
1,19,62,42,4,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
