1,2,3
30,18,2
0,5933,111
0,0,78
1,2,3
3,1,2
27,5931,95
0,19,94
1,2,3
0,0,0
30,5949,158
0,2,33
1,2,3
0,0,0
30,5941,155
0,10,36
1,2,3
0,0,0
30,5949,174
0,2,17
1,2,3
0,0,0
30,5945,171
0,6,20
1,2,3
0,0,0
30,5946,174
0,5,17
1,2,3
0,0,0
30,5944,171
0,7,20
1,2,3
29,18,2
0,5623,108
0,0,67
1,2,3
3,1,2
26,5618,93
0,22,82
1,2,3
0,0,0
29,5638,150
0,3,27
1,2,3
0,0,0
29,5632,147
0,9,30
1,2,3
0,0,0
29,5639,163
0,2,14
1,2,3
0,0,0
29,5633,157
0,8,20
1,2,3
0,0,0
29,5637,163
0,4,14
1,2,3
0,0,0
29,5635,161
0,6,16
1,2,3
27,17,2
0,5309,102
0,0,65
1,2,3
3,1,2
24,5302,86
0,23,81
1,2,3
0,0,0
27,5323,142
0,3,27
1,2,3
0,0,0
27,5318,139
0,8,30
1,2,3
0,0,0
27,5324,154
0,2,15
1,2,3
0,0,0
27,5320,149
0,6,20
1,2,3
0,0,0
27,5322,155
0,4,14
1,2,3
0,0,0
27,5319,153
0,7,16
1,2,3
25,17,2
0,4996,96
0,0,61
1,2,3
2,1,3
23,4990,82
0,22,74
1,2,3
0,0,0
25,5010,134
0,3,25
1,2,3
0,0,0
25,5002,129
0,11,30
1,2,3
0,0,0
25,5011,144
0,2,15
1,2,3
0,0,0
25,5006,139
0,7,20
1,2,3
0,0,0
25,5008,145
0,5,14
1,2,3
0,0,0
25,5006,143
0,7,16
1,2,3
23,16,2
0,4683,89
0,0,59
1,2,3
2,1,3
21,4678,76
0,20,71
1,2,3
0,0,0
23,4696,126
0,3,24
1,2,3
0,0,0
23,4688,120
0,11,30
1,2,3
0,0,0
23,4698,136
0,1,14
1,2,3
0,0,0
23,4692,129
0,7,21
1,2,3
0,0,0
23,4696,141
0,3,9
1,2,3
0,0,0
23,4695,139
0,4,11
1,2,3
21,14,2
0,4375,83
0,0,52
1,2,3
2,1,3
19,4370,71
0,18,63
1,2,3
0,0,0
21,4386,118
0,3,19
1,2,3
0,0,0
21,4380,114
0,9,23
1,2,3
0,0,0
21,4388,128
0,1,9
1,2,3
0,0,0
21,4382,120
0,7,17
1,2,3
0,0,0
21,4387,129
0,2,8
1,2,3
0,0,0
21,4382,125
0,7,12
1,2,3
19,11,1
0,4065,80
0,0,47
1,2,3
1,0,1
18,4060,71
0,16,56
1,2,3
0,0,0
19,4074,111
0,2,17
1,2,3
0,0,0
19,4066,106
0,10,22
1,2,3
0,0,0
19,4074,119
0,2,9
1,2,3
0,0,0
19,4070,114
0,6,14
1,2,3
0,0,0
19,4072,119
0,4,9
1,2,3
0,0,0
19,4070,117
0,6,11
1,2,3
19,11,1
0,3745,75
0,0,47
1,2,3
1,0,1
18,3743,68
0,13,54
1,2,3
0,0,0
19,3755,109
0,1,14
1,2,3
0,0,0
19,3749,104
0,7,19
1,2,3
0,0,0
19,3754,113
0,2,10
1,2,3
0,0,0
19,3752,112
0,4,11
1,2,3
0,0,0
19,3753,115
0,3,8
1,2,3
0,0,0
19,3752,115
0,4,8
1,2,3
15,10,0
0,3440,68
0,0,40
1,2,3
0,0,0
15,3440,58
0,10,50
1,2,3
0,0,0
15,3449,94
0,1,14
1,2,3
0,0,0
15,3444,93
0,6,15
1,2,3
0,0,0
15,3448,100
0,2,8
1,2,3
0,0,0
15,3446,100
0,4,8
1,2,3
0,0,0
15,3448,103
0,2,5
1,2,3
0,0,0
15,3447,103
0,3,5
1,2,3
14,10,0
0,3124,63
0,0,37
1,2,3
0,0,0
14,3124,54
0,10,46
1,2,3
0,0,0
14,3133,85
0,1,15
1,2,3
0,0,0
14,3129,84
0,5,16
1,2,3
0,0,0
14,3132,92
0,2,8
1,2,3
0,0,0
14,3129,91
0,5,9
1,2,3
0,0,0
14,3132,95
0,2,5
1,2,3
0,0,0
14,3130,95
0,4,5
1,2,3
13,9,0
0,2810,59
0,0,32
1,2,3
0,0,0
13,2811,54
0,8,37
1,2,3
0,0,0
13,2818,82
0,1,9
1,2,3
0,0,0
13,2814,82
0,5,9
1,2,3
0,0,0
13,2818,86
0,1,5
1,2,3
0,0,0
13,2813,86
0,6,5
1,2,3
0,0,0
13,2817,86
0,2,5
1,2,3
0,0,0
13,2815,86
0,4,5
1,2,3
12,7,0
0,2496,56
0,0,27
1,2,3
0,0,0
12,2498,51
0,5,32
1,2,3
0,0,0
12,2502,74
0,1,9
1,2,3
0,0,0
12,2499,74
0,4,9
1,2,3
0,0,0
12,2502,78
0,1,5
1,2,3
0,0,0
12,2497,78
0,6,5
1,2,3
0,0,0
12,2500,78
0,3,5
1,2,3
0,0,0
12,2498,78
0,5,5
1,2,3
12,7,0
0,2183,55
0,0,16
1,2,3
0,0,0
12,2183,51
0,7,20
1,2,3
0,0,0
