1,2,3
28,16,2
0,5945,110
0,0,71
1,2,3
3,2,2
25,5941,92
0,18,89
1,2,3
0,0,0
28,5958,152
0,3,31
1,2,3
0,0,0
28,5948,147
0,13,36
1,2,3
0,0,0
28,5958,166
0,3,17
1,2,3
0,0,0
28,5956,166
0,5,17
1,2,3
0,0,0
28,5957,167
0,4,16
1,2,3
0,0,0
28,5955,166
0,6,17
1,2,3
28,16,2
0,5629,106
0,0,66
1,2,3
3,2,2
25,5625,90
0,18,82
1,2,3
0,0,0
28,5642,144
0,3,30
1,2,3
0,0,0
28,5631,138
0,14,36
1,2,3
0,0,0
28,5642,157
0,3,17
1,2,3
0,0,0
28,5640,156
0,5,18
1,2,3
0,0,0
28,5642,163
0,3,11
1,2,3
0,0,0
28,5640,162
0,5,12
1,2,3
28,16,2
0,5318,101
0,0,57
1,2,3
3,2,2
25,5319,87
0,13,71
1,2,3
0,0,0
28,5331,129
0,3,31
1,2,3
0,0,0
28,5323,124
0,11,36
1,2,3
0,0,0
28,5332,148
0,2,12
1,2,3
0,0,0
28,5331,145
0,3,15
1,2,3
0,0,0
28,5333,149
0,1,11
1,2,3
0,0,0
28,5328,147
0,6,13
1,2,3
26,13,2
0,5013,96
0,0,47
1,2,3
3,2,2
23,5011,83
0,13,60
1,2,3
0,0,0
26,5024,121
0,2,24
1,2,3
0,0,0
26,5018,118
0,8,27
1,2,3
0,0,0
26,5024,135
0,2,10
1,2,3
0,0,0
26,5024,134
0,2,11
1,2,3
0,0,0
26,5025,139
0,1,6
1,2,3
0,0,0
26,5022,138
0,4,7
1,2,3
23,9,2
0,4707,87
0,0,44
1,2,3
3,2,2
20,4702,75
0,12,56
1,2,3
0,0,0
23,4715,111
0,1,22
1,2,3
0,0,0
23,4710,109
0,6,24
1,2,3
0,0,0
23,4716,125
0,0,8
1,2,3
0,0,0
23,4714,123
0,2,10
1,2,3
0,0,0
23,4716,132
0,0,1
1,2,3
0,0,0
23,4716,132
0,0,1
1,2,3
21,7,2
0,4389,84
0,0,44
1,2,3
3,2,2
18,4380,74
0,14,54
1,2,3
0,0,0
21,4393,106
0,3,24
1,2,3
0,0,0
21,4389,106
0,7,24
1,2,3
0,0,0
21,4395,121
0,1,9
1,2,3
0,0,0
21,4394,119
0,2,11
1,2,3
0,0,0
21,4396,129
0,0,1
1,2,3
0,0,0
21,4396,129
0,0,1
1,2,3
21,7,1
0,4076,81
0,0,37
1,2,3
2,1,1
19,4070,73
0,12,45
1,2,3
0,0,0
21,4081,100
0,2,19
1,2,3
0,0,0
21,4077,101
0,6,18
1,2,3
0,0,0
21,4083,114
0,0,5
1,2,3
0,0,0
21,4083,112
0,0,7
1,2,3
0,0,0
21,4083,118
0,0,1
1,2,3
0,0,0
21,4083,118
0,0,1
1,2,3
19,7,1
0,3763,76
0,0,32
1,2,3
2,1,1
17,3758,67
0,11,41
1,2,3
0,0,0
19,3768,93
0,2,16
1,2,3
0,0,0
19,3765,94
0,5,15
1,2,3
0,0,0
19,3770,104
0,0,5
1,2,3
0,0,0
19,3770,101
0,0,8
1,2,3
0,0,0
19,3770,108
0,0,1
1,2,3
0,0,0
19,3770,108
0,0,1
1,2,3
15,5,1
0,3456,65
0,0,31
1,2,3
2,1,1
13,3451,60
0,9,36
1,2,3
0,0,0
15,3459,84
0,2,13
1,2,3
0,0,0
15,3458,85
0,3,12
1,2,3
0,0,0
15,3461,92
0,0,5
1,2,3
0,0,0
15,3461,90
0,0,7
1,2,3
0,0,0
15,3461,96
0,0,1
1,2,3
0,0,0
15,3461,96
0,0,1
1,2,3
15,11,1
0,3133,64
0,0,24
1,2,3
1,2,2
14,3138,62
0,4,25
1,2,3
0,0,0
15,3143,80
0,1,9
1,2,3
0,0,0
15,3143,80
0,1,9
1,2,3
0,0,0
15,3144,83
0,0,6
1,2,3
0,0,0
15,3143,82
0,1,7
1,2,3
0,0,0
15,3144,88
0,0,1
1,2,3
0,0,0
15,3144,88
0,0,1
1,2,3
13,10,0
0,2824,57
0,0,19
1,2,3
0,2,1
13,2829,55
0,3,20
1,2,3
0,0,0
13,2834,70
0,0,6
1,2,3
0,0,0
13,2832,70
0,2,6
1,2,3
0,0,0
13,2834,76
0,0,0
1,2,3
0,0,0
13,2834,76
0,0,0
1,2,3
0,0,0
13,2834,76
0,0,0
1,2,3
0,0,0
13,2834,76
0,0,0
1,2,3
12,11,0
0,2507,50
0,0,18
1,2,3
0,2,1
12,2515,48
0,1,19
1,2,3
0,0,0
12,2518,62
0,0,6
1,2,3
0,0,0
12,2515,62
0,3,6
1,2,3
0,0,0
12,2518,68
0,0,0
1,2,3
0,0,0
12,2518,68
0,0,0
1,2,3
0,0,0
12,2518,68
0,0,0
1,2,3
0,0,0
12,2518,68
0,0,0
1,2,3
11,10,0
0,2193,46
0,0,13
1,2,3
0,2,1
11,2199,42
0,2,16
1,2,3
0,0,0
11,2203,54
0,0,5
1,2,3
0,0,0
11,2200,53
0,3,6
1,2,3
0,0,0
11,2203,59
0,0,0
1,2,3
0,0,0
11,2203,59
0,0,0
1,2,3
0,0,0
11,2203,59
0,0,0
1,2,3
0,0,0
11,2203,59
0,0,0
1,2,3
10,9,0
0,1882,39
0,0,9
1,2,3
0,0,0
10,1890,39
0,1,9
1,2,3
0,0,0
10,1891,46
0,0,2
1,2,3
0,0,0
10,1891,45
0,0,3
1,2,3
0,0,0
10,1891,48
0,0,0
1,2,3
0,0,0
10,1891,48
0,0,0
1,2,3
0,0,0
10,1891,48
0,0,0
1,2,3
0,0,0
10,1891,48
0,0,0
1,2,3
9,4,0
0,1569,35
0,0,7
1,2,3
0,0,0
9,1572,35
0,1,7
1,2,3
0,0,0
9,1573,40
0,0,2
1,2,3
0,0,0
9,1573,39
0,0,3
1,2,3
0,0,0
9,1573,42
0,0,0
1,2,3
0,0,0
9,1573,42
0,0,0
1,2,3
0,0,0
9,1573,42
0,0,0
1,2,3
0,0,0
9,1573,42
0,0,0
1,2,3
6,1,0
0,1257,30
0,0,5
1,2,3
0,0,0
6,1256,30
0,2,5
1,2,3
0,0,0
6,1258,33
0,0,2
1,2,3
0,0,0
6,1258,32
0,0,3
1,2,3
0,0,0
6,1258,35
0,0,0
1,2,3
0,0,0
6,1258,35
0,0,0
1,2,3
0,0,0
6,1258,35
0,0,0
1,2,3
0,0,0
6,1258,35
0,0,0
1,2,3
5,3,0
0,936,27
0,0,3
1,2,3
1,1,0
4,937,25
0,1,5
1,2,3
0,0,0
5,939,29
0,0,1
1,2,3
0,0,0
5,937,30
0,2,0
1,2,3
0,0,0
5,939,30
0,0,0
1,2,3
0,0,0
5,939,30
0,0,0
1,2,3
0,0,0
5,939,30
0,0,0
1,2,3
0,0,0
5,939,30
0,0,0
1,2,3
3,1,0
0,621,22
0,0,2
1,2,3
1,1,0
2,620,19
0,1,5
1,2,3
0,0,0
3,621,23
0,1,1
1,2,3
0,0,0
3,621,23
0,1,1
1,2,3
0,0,0
3,622,23
0,0,1
1,2,3
0,0,0
3,622,24
0,0,0
1,2,3
0,0,0
3,622,24
0,0,0
1,2,3
0,0,0
3,622,24
0,0,0
2,3
307,17
0,0
2,3
304,13
3,4
2,3
306,17
1,0
2,3
305,14
2,3
2,3
307,17
0,0
2,3
307,17
0,0
2,3
307,17
0,0
2,3
307,17
0,0
