k,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,µs Mean,µs St Dev,µs Median,µs Min,µs Max
2,0.540415804317242,0.04250809963446907,0.5367805478608803,0.3969230769230769,0.6593228576057022,0.2387645078999817,0.03581713200457808,0.23429802955665024,0.182598833441348,0.3641975308641975,1503.8916842105264,557.8164596413211,1415,620,5404
3,0.5538170216643772,0.038583827926750885,0.5512031337437046,0.4061538461538462,0.6696905880447108,0.29221872018496575,0.030466633081512366,0.28911279037223625,0.24254698639014904,0.4475308641975309,1504.2379473684211,558.8238660160436,1414,620,5748
4,0.5460031899010924,0.03152553406836411,0.5429362880886426,0.41538461538461535,0.6436092661590799,0.3433190700328201,0.023362598398184248,0.3400791904971403,0.3033052495139339,0.4629629629629629,1503.6404210526316,558.1200874075605,1415,621,5312
5,0.544747245795558,0.02860801341781726,0.543076923076923,0.4184615384615384,0.6387493925157945,0.37179514010554215,0.021983429914496522,0.3677728361272665,0.33333333333333337,0.5061728395061729,1504.5514210526317,560.9630310215051,1417,611,7309
6,0.5467770878134338,0.027104664517178537,0.5451436388508892,0.41538461538461535,0.6342135104487283,0.3927491445468165,0.02106917389964974,0.3892821787502029,0.34567901234567894,0.5092592592592593,1505.166105263158,560.9652768977157,1417,618,5307
7,0.5463002794192153,0.026374326157060132,0.5453273642977057,0.4338461538461539,0.627409687348129,0.40713418738648527,0.019796436591435023,0.4034315882094148,0.3549382716049383,0.5339506172839505,1504.7008947368422,560.8803775261034,1414,623,6606
8,0.545891203516515,0.024486292661982406,0.544775388682291,0.43692307692307697,0.6241697715859388,0.42046249174027456,0.018836240343403515,0.4165334555846087,0.3641975308641975,0.5308641975308642,1504.5392631578948,559.1677987178705,1413,621,5469
9,0.5473712847656973,0.023598473379087537,0.5465116279069768,0.44,0.6282196662886765,0.4310870283043594,0.01775439385812345,0.42641625615763545,0.3796296296296297,0.537037037037037,1504.6236315789474,560.0061729219512,1416,614,5832
