,OS Error,IS Error,Microseconds
mean,0.1921073691279879,0.18076451034137503,47916.620421052634
std,0.15679376233855516,0.16224830630588513,33905.88358494074
median,0.0950413223140496,0.07746478873239437,48443.0
amin,0.0,0.0,6321.0
amax,0.9824561403508772,0.9642857142857144,162909.0
