1,2,3
30,18,2
0,5936,111
0,0,75
1,2,3
3,2,2
27,5929,95
0,23,91
1,2,3
0,0,0
30,5948,157
0,6,31
1,2,3
0,0,0
30,5942,153
0,12,35
1,2,3
0,0,0
30,5949,171
0,5,17
1,2,3
0,0,0
30,5947,169
0,7,19
1,2,3
0,0,0
30,5949,171
0,5,17
1,2,3
0,0,0
30,5946,168
0,8,20
1,2,3
28,17,2
0,5620,106
0,0,74
1,2,3
3,3,2
25,5612,91
0,22,89
1,2,3
0,0,0
28,5632,153
0,5,29
1,2,3
0,0,0
28,5626,149
0,11,33
1,2,3
0,0,0
28,5632,165
0,5,17
1,2,3
0,0,0
28,5630,165
0,7,17
1,2,3
0,0,0
28,5631,165
0,6,17
1,2,3
0,0,0
28,5630,163
0,7,19
1,2,3
28,18,2
0,5302,99
0,0,73
1,2,3
3,3,2
25,5294,84
0,23,88
1,2,3
0,0,0
28,5315,147
0,5,27
1,2,3
0,0,0
28,5309,144
0,11,30
1,2,3
0,0,0
28,5315,157
0,5,17
1,2,3
0,0,0
28,5313,157
0,7,17
1,2,3
0,0,0
28,5314,157
0,6,17
1,2,3
0,0,0
28,5312,155
0,8,19
1,2,3
27,17,2
0,4988,95
0,0,68
1,2,3
3,3,2
24,4979,85
0,23,78
1,2,3
0,0,0
26,5000,140
1,5,25
1,2,3
0,0,0
27,4997,137
0,8,28
1,2,3
0,0,0
27,5001,150
0,4,15
1,2,3
0,0,0
27,4998,149
0,7,16
1,2,3
0,0,0
27,5002,154
0,3,11
1,2,3
0,0,0
27,5000,154
0,5,11
1,2,3
25,15,1
0,4677,89
0,0,65
1,2,3
2,2,1
23,4668,80
0,22,74
1,2,3
0,0,0
24,4687,132
1,5,23
1,2,3
0,0,0
25,4684,129
0,8,26
1,2,3
0,0,0
25,4686,140
0,6,15
1,2,3
0,0,0
25,4684,139
0,8,16
1,2,3
0,0,0
25,4688,145
0,4,10
1,2,3
0,0,0
25,4686,143
0,6,12
1,2,3
24,16,1
0,4363,83
0,0,60
1,2,3
1,2,1
22,4355,77
1,22,66
1,2,3
0,0,0
23,4376,120
1,3,24
1,2,3
0,0,0
24,4372,118
0,7,26
1,2,3
0,0,0
24,4373,129
0,6,15
1,2,3
0,0,0
24,4371,126
0,8,18
1,2,3
0,0,0
24,4374,133
0,5,11
1,2,3
0,0,0
24,4373,132
0,6,12
1,2,3
23,15,1
0,4053,78
0,0,53
1,2,3
1,1,1
22,4048,73
0,19,58
1,2,3
0,0,0
23,4066,120
0,2,12
1,2,3
0,0,0
23,4062,115
0,6,17
1,2,3
0,0,0
23,4063,119
0,5,13
1,2,3
0,0,0
23,4060,117
0,8,15
1,2,3
0,0,0
23,4063,124
0,5,8
1,2,3
0,0,0
23,4062,123
0,6,9
1,2,3
22,11,1
0,3741,74
0,0,49
1,2,3
1,0,1
21,3734,68
0,18,55
1,2,3
0,0,0
22,3749,110
0,3,14
1,2,3
0,0,0
22,3748,106
0,4,18
1,2,3
0,0,0
22,3748,112
0,4,12
1,2,3
0,0,0
22,3746,111
0,6,13
1,2,3
0,0,0
22,3749,117
0,3,7
1,2,3
0,0,0
22,3748,116
0,4,8
1,2,3
20,11,1
0,3430,69
0,0,42
1,2,3
2,0,1
18,3424,64
0,17,47
1,2,3
0,0,0
20,3438,100
0,3,12
1,2,3
0,0,0
20,3436,97
0,5,15
1,2,3
0,0,0
20,3438,104
0,3,8
1,2,3
0,0,0
20,3435,103
0,6,9
1,2,3
0,0,0
20,3436,105
0,5,7
1,2,3
0,0,0
20,3434,104
0,7,8
1,2,3
20,12,1
0,3111,68
0,0,36
1,2,3
2,1,1
18,3108,64
0,14,40
1,2,3
0,0,0
20,3121,92
0,2,13
1,2,3
0,0,0
20,3119,91
0,4,14
1,2,3
0,0,0
20,3120,96
0,3,9
1,2,3
0,0,0
20,3117,96
0,6,9
1,2,3
0,0,0
20,3118,98
0,5,7
1,2,3
0,0,0
20,3116,97
0,7,8
1,2,3
20,12,1
0,2793,62
0,0,35
1,2,3
2,1,1
18,2792,60
0,12,37
1,2,3
0,0,0
20,2804,87
0,1,11
1,2,3
0,0,0
20,2801,85
0,4,13
1,2,3
0,0,0
20,2802,91
0,3,7
1,2,3
0,0,0
20,2801,91
0,4,7
1,2,3
0,0,0
20,2801,92
0,4,6
1,2,3
0,0,0
20,2799,92
0,6,6
1,2,3
17,10,1
0,2484,57
0,0,29
1,2,3
2,2,1
15,2483,56
0,9,30
1,2,3
0,0,0
16,2493,78
1,1,9
1,2,3
0,0,0
17,2490,77
0,4,10
1,2,3
0,0,0
17,2491,80
0,3,7
1,2,3
0,0,0
17,2489,80
0,5,7
1,2,3
0,0,0
17,2489,81
0,5,6
1,2,3
0,0,0
17,2488,81
0,6,6
1,2,3
16,8,0
0,2173,56
0,0,20
1,2,3
0,0,0
16,2173,55
0,8,21
1,2,3
0,0,0
16,2181,68
0,0,8
1,2,3
0,0,0
16,2178,68
0,3,8
1,2,3
0,0,0
16,2178,70
0,3,6
1,2,3
0,0,0
16,2177,70
0,4,6
1,2,3
0,0,0
16,2177,70
0,4,6
1,2,3
0,0,0
16,2176,70
0,5,6
1,2,3
13,8,0
0,1862,53
0,0,13
1,2,3
0,0,0
13,1866,51
0,4,15
1,2,3
0,0,0
13,1870,60
0,0,6
1,2,3
0,0,0
13,1867,60
0,3,6
1,2,3
0,0,0
13,1867,60
0,3,6
1,2,3
0,0,0
13,1866,60
0,4,6
1,2,3
0,0,0
13,1866,60
0,4,6
1,2,3
0,0,0
13,1865,60
0,5,6
1,2,3
11,5,0
0,1552,48
0,0,8
1,2,3
0,0,0
11,1554,47
0,3,9
1,2,3
0,0,0
11,1556,50
0,1,6
1,2,3
0,0,0
11,1554,50
0,3,6
