1,2,3
28,14,2
0,5945,108
0,0,75
1,2,3
3,2,2
25,5936,89
0,21,94
1,2,3
0,0,0
28,5955,152
0,4,33
1,2,3
0,0,0
28,5947,146
0,12,39
1,2,3
0,0,0
28,5953,164
0,6,21
1,2,3
0,0,0
28,5952,163
0,7,22
1,2,3
0,0,0
28,5953,164
0,6,21
1,2,3
0,0,0
28,5950,163
0,9,22
1,2,3
27,14,2
0,5624,110
0,0,70
1,2,3
3,2,2
24,5616,92
0,20,88
1,2,3
0,0,0
27,5633,150
0,5,32
1,2,3
0,0,0
27,5627,144
0,11,38
1,2,3
0,0,0
27,5632,161
0,6,21
1,2,3
0,0,0
27,5630,159
0,8,23
1,2,3
0,0,0
27,5632,161
0,6,21
1,2,3
0,0,0
27,5629,160
0,9,22
1,2,3
24,12,2
0,5317,104
0,0,63
1,2,3
2,1,2
22,5312,91
0,16,76
1,2,3
0,0,0
24,5325,144
0,4,25
1,2,3
0,0,0
24,5319,140
0,10,29
1,2,3
0,0,0
24,5324,150
0,5,19
1,2,3
0,0,0
24,5321,148
0,8,21
1,2,3
0,0,0
24,5324,151
0,5,18
1,2,3
0,0,0
24,5319,149
0,10,20
1,2,3
23,12,2
0,5005,105
0,0,50
1,2,3
2,1,2
21,5001,93
0,15,62
1,2,3
0,0,0
23,5013,132
0,4,25
1,2,3
0,0,0
23,5009,129
0,8,28
1,2,3
0,0,0
23,5012,138
0,5,19
1,2,3
0,0,0
23,5008,135
0,9,22
1,2,3
0,0,0
23,5010,139
0,7,18
1,2,3
0,0,0
23,5007,137
0,10,20
1,2,3
22,12,2
0,4686,100
0,0,50
1,2,3
2,1,2
20,4678,88
0,19,62
1,2,3
0,0,0
22,4692,128
0,6,24
1,2,3
0,0,0
22,4688,124
0,10,28
1,2,3
0,0,0
22,4693,134
0,5,18
1,2,3
0,0,0
22,4690,131
0,8,21
1,2,3
0,0,0
22,4692,135
0,6,17
1,2,3
0,0,0
22,4689,132
0,9,20
1,2,3
21,13,1
0,4377,92
0,0,43
1,2,3
1,1,1
20,4373,80
0,16,55
1,2,3
0,0,0
21,4386,119
0,4,17
1,2,3
0,0,0
21,4383,117
0,7,19
1,2,3
0,0,0
21,4385,119
0,5,17
1,2,3
0,0,0
21,4383,117
0,7,19
1,2,3
0,0,0
21,4383,120
0,7,16
1,2,3
0,0,0
21,4381,116
0,9,20
1,2,3
19,9,0
0,4069,84
0,0,42
1,2,3
0,0,0
19,4063,74
0,15,52
1,2,3
0,0,0
19,4074,110
0,4,16
1,2,3
0,0,0
19,4071,106
0,7,20
1,2,3
0,0,0
19,4073,110
0,5,16
1,2,3
0,0,0
19,4071,106
0,7,20
1,2,3
0,0,0
19,4071,112
0,7,14
1,2,3
0,0,0
19,4068,110
0,10,16
1,2,3
17,8,0
0,3759,77
0,0,37
1,2,3
0,0,0
17,3754,67
0,13,47
1,2,3
0,0,0
17,3763,101
0,4,13
1,2,3
0,0,0
17,3760,99
0,7,15
1,2,3
0,0,0
17,3762,103
0,5,11
1,2,3
0,0,0
17,3760,100
0,7,14
1,2,3
0,0,0
17,3763,106
0,4,8
1,2,3
0,0,0
17,3760,103
0,7,11
1,2,3
13,3,0
0,3453,69
0,0,35
1,2,3
0,0,0
13,3443,62
0,13,42
1,2,3
0,0,0
13,3453,92
0,3,12
1,2,3
0,0,0
13,3450,90
0,6,14
1,2,3
0,0,0
13,3452,94
0,4,10
1,2,3
0,0,0
13,3451,90
0,5,14
1,2,3
0,0,0
13,3454,97
0,2,7
1,2,3
0,0,0
13,3451,94
0,5,10
1,2,3
13,5,0
0,3136,62
0,0,32
1,2,3
0,0,0
13,3129,58
0,12,36
1,2,3
0,0,0
13,3138,81
0,3,13
