0.0,1.0
337,29
0,174
0.0,1.0
331,19
6,184
0.0,1.0
334,25
3,178
0.0,1.0
329,21
8,182
0.0,1.0
331,24
6,179
0.0,1.0
325,21
12,182
0.0,1.0
327,24
10,179
0.0,1.0
326,20
11,183
0.0,1.0
318,26
0,168
0.0,1.0
312,18
6,176
0.0,1.0
315,23
3,171
0.0,1.0
311,19
7,175
0.0,1.0
312,24
6,170
0.0,1.0
308,19
10,175
0.0,1.0
309,20
9,174
0.0,1.0
307,18
11,176
0.0,1.0
304,25
0,154
0.0,1.0
299,16
5,163
0.0,1.0
301,20
3,159
0.0,1.0
297,18
7,161
0.0,1.0
298,21
6,158
0.0,1.0
294,18
10,161
0.0,1.0
297,20
7,159
0.0,1.0
293,19
11,160
0.0,1.0
284,23
0,148
0.0,1.0
280,13
4,158
0.0,1.0
282,20
2,151
0.0,1.0
278,18
6,153
0.0,1.0
280,20
4,151
0.0,1.0
277,17
7,154
0.0,1.0
279,19
5,152
0.0,1.0
276,18
8,153
0.0,1.0
267,23
0,136
0.0,1.0
263,13
4,146
0.0,1.0
265,20
2,139
0.0,1.0
261,18
6,141
0.0,1.0
263,20
4,139
0.0,1.0
258,17
9,142
0.0,1.0
262,19
5,140
0.0,1.0
258,17
9,142
0.0,1.0
249,21
0,128
0.0,1.0
244,12
5,137
0.0,1.0
247,19
2,130
0.0,1.0
242,16
7,133
0.0,1.0
245,19
4,130
0.0,1.0
239,15
10,134
0.0,1.0
243,19
6,130
0.0,1.0
240,17
9,132
0.0,1.0
228,17
0,124
0.0,1.0
223,9
5,132
0.0,1.0
226,16
2,125
0.0,1.0
223,15
5,126
0.0,1.0
225,21
3,120
0.0,1.0
219,14
9,127
0.0,1.0
221,17
7,124
0.0,1.0
221,15
7,126
0.0,1.0
211,17
0,113
0.0,1.0
207,10
4,120
0.0,1.0
209,13
2,117
0.0,1.0
207,13
4,117
0.0,1.0
208,18
3,112
0.0,1.0
203,13
8,117
0.0,1.0
205,14
6,116
0.0,1.0
205,13
6,117
0.0,1.0
195,16
0,101
0.0,1.0
191,9
4,108
0.0,1.0
193,13
2,104
0.0,1.0
191,12
4,105
0.0,1.0
193,18
2,99
0.0,1.0
188,12
7,105
0.0,1.0
189,16
6,101
0.0,1.0
189,14
6,103
0.0,1.0
176,16
0,92
0.0,1.0
172,9
4,99
0.0,1.0
174,13
2,95
0.0,1.0
171,10
5,98
0.0,1.0
172,16
4,92
0.0,1.0
169,12
7,96
0.0,1.0
171,15
5,93
0.0,1.0
171,14
5,94
0.0,1.0
157,16
0,83
0.0,1.0
151,9
6,90
0.0,1.0
154,13
3,86
0.0,1.0
151,10
6,89
0.0,1.0
152,12
5,87
0.0,1.0
151,12
6,87
0.0,1.0
152,15
5,84
0.0,1.0
152,13
5,86
0.0,1.0
141,16
0,70
0.0,1.0
135,8
6,78
0.0,1.0
139,14
2,72
0.0,1.0
136,10
5,76
0.0,1.0
136,14
5,72
0.0,1.0
136,12
5,74
0.0,1.0
136,14
5,72
0.0,1.0
136,12
5,74
0.0,1.0
124,15
0,60
0.0,1.0
118,8
6,67
0.0,1.0
122,13
2,62
0.0,1.0
120,10
4,65
0.0,1.0
120,13
4,62
0.0,1.0
120,12
4,63
0.0,1.0
120,15
4,60
0.0,1.0
120,13
4,62
0.0,1.0
106,14
0,50
0.0,1.0
100,7
6,57
0.0,1.0
105,13
1,51
0.0,1.0
102,10
4,54
0.0,1.0
103,16
3,48
0.0,1.0
102,12
4,52
0.0,1.0
103,15
3,49
0.0,1.0
102,13
4,51
0.0,1.0
84,14
0,44
0.0,1.0
78,6
6,52
0.0,1.0
83,13
1,45
0.0,1.0
80,9
4,49
0.0,1.0
80,12
4,46
0.0,1.0
80,9
4,49
0.0,1.0
80,11
4,47
0.0,1.0
80,10
4,48
0.0,1.0
67,14
0,32
0.0,1.0
62,6
5,40
0.0,1.0
66,14
1,32
0.0,1.0
64,10
3,36
0.0,1.0
65,11
2,35
0.0,1.0
64,9
3,37
0.0,1.0
65,11
2,35
0.0,1.0
65,11
2,35
0.0,1.0
48,12
0,25
0.0,1.0
45,7
3,30
0.0,1.0
47,12
1,25
0.0,1.0
46,9
2,28
0.0,1.0
46,11
2,26
0.0,1.0
46,9
2,28
0.0,1.0
46,10
2,27
0.0,1.0
46,10
2,27
0.0,1.0
31,9
0,16
0.0,1.0
30,3
1,22
0.0,1.0
31,8
0,17
0.0,1.0
26,3
5,22
0.0,1.0
27,6
4,19
0.0,1.0
27,4
4,21
0.0,1.0
27,7
4,18
0.0,1.0
27,5
4,20
0.0,1.0
12,0
0,16
0.0,1.0
11,0
1,16
0.0,1.0
11,1
1,15
0.0,1.0
10,0
2,16
0.0,1.0
11,2
1,14
0.0,1.0
11,1
1,15
0.0,1.0
11,4
1,12
0.0,1.0
11,4
1,12
