1,2,3
30,19,1
0,5932,111
0,0,79
1,2,3
2,2,1
28,5932,96
0,17,94
1,2,3
0,0,0
30,5947,158
0,4,33
1,2,3
0,0,0
30,5938,154
0,13,37
1,2,3
0,0,0
30,5946,172
0,5,19
1,2,3
0,0,0
30,5944,170
0,7,21
1,2,3
0,0,0
30,5946,172
0,5,19
1,2,3
0,0,0
30,5942,169
0,9,22
1,2,3
28,19,0
0,5621,110
0,0,69
1,2,3
1,1,0
27,5623,97
0,16,82
1,2,3
0,0,0
28,5636,153
0,4,26
1,2,3
0,0,0
28,5628,150
0,12,29
1,2,3
0,0,0
28,5637,164
0,3,15
1,2,3
0,0,0
28,5633,161
0,7,18
1,2,3
0,0,0
28,5636,165
0,4,14
1,2,3
0,0,0
28,5632,161
0,8,18
1,2,3
25,14,0
0,5315,102
0,0,66
1,2,3
1,1,0
24,5312,92
0,16,76
1,2,3
0,0,0
25,5325,144
0,4,24
1,2,3
0,0,0
25,5317,141
0,12,27
1,2,3
0,0,0
25,5326,151
0,3,17
1,2,3
0,0,0
25,5323,148
0,6,20
1,2,3
0,0,0
25,5325,151
0,4,17
1,2,3
0,0,0
25,5321,150
0,8,18
1,2,3
25,14,0
0,5000,97
0,0,61
1,2,3
1,1,0
24,4999,91
0,14,67
1,2,3
0,0,0
25,5009,134
0,5,24
1,2,3
0,0,0
25,5002,130
0,12,28
1,2,3
0,0,0
25,5010,141
0,4,17
1,2,3
0,0,0
25,5006,137
0,8,21
1,2,3
0,0,0
25,5008,141
0,6,17
1,2,3
0,0,0
25,5005,140
0,9,18
1,2,3
22,13,0
0,4692,93
0,0,52
1,2,3
1,1,0
21,4689,85
0,15,60
1,2,3
0,0,0
22,4701,118
0,4,27
1,2,3
0,0,0
22,4692,117
0,13,28
1,2,3
0,0,0
22,4701,126
0,4,19
1,2,3
0,0,0
22,4697,124
0,8,21
1,2,3
0,0,0
22,4698,129
0,7,16
1,2,3
0,0,0
22,4696,127
0,9,18
1,2,3
21,12,0
0,4386,88
0,0,40
1,2,3
1,1,0
20,4384,80
0,13,48
1,2,3
0,0,0
21,4394,112
0,4,16
1,2,3
0,0,0
21,4386,106
0,12,22
1,2,3
0,0,0
21,4393,115
0,5,13
1,2,3
0,0,0
21,4390,111
0,8,17
1,2,3
0,0,0
21,4392,116
0,6,12
1,2,3
0,0,0
21,4386,113
0,12,15
1,2,3
17,10,0
0,4072,84
0,0,40
1,2,3
1,1,0
16,4068,75
0,13,49
1,2,3
0,0,0
17,4078,107
0,4,17
1,2,3
0,0,0
17,4072,102
0,10,22
1,2,3
0,0,0
17,4078,110
0,4,14
1,2,3
0,0,0
17,4076,107
0,6,17
1,2,3
0,0,0
17,4077,110
0,5,14
1,2,3
0,0,0
17,4072,109
0,10,15
1,2,3
16,7,0
0,3764,78
0,0,33
1,2,3
1,1,0
15,3756,70
0,14,41
1,2,3
0,0,0
16,3766,95
0,5,16
1,2,3
0,0,0
16,3762,92
0,9,19
1,2,3
0,0,0
16,3769,105
0,2,6
1,2,3
0,0,0
16,3767,100
0,4,11
1,2,3
0,0,0
16,3769,105
0,2,6
1,2,3
0,0,0
16,3767,103
0,4,8
1,2,3
16,8,0
0,3450,73
0,0,26
1,2,3
1,1,0
15,3445,64
0,12,35
1,2,3
0,0,0
16,3457,89
0,1,10
1,2,3
0,0,0
16,3456,88
0,2,11
1,2,3
0,0,0
16,3457,94
0,1,5
1,2,3
0,0,0
16,3455,89
0,3,10
1,2,3
0,0,0
16,3458,98
0,0,1
1,2,3
0,0,0
16,3457,96
0,1,3
1,2,3
15,8,0
0,3139,65
0,0,21
1,2,3
1,1,0
14,3139,59
0,7,27
1,2,3
0,0,0
15,3146,77
0,1,9
1,2,3
0,0,0
15,3145,78
0,2,8
1,2,3
0,0,0
15,3146,80
0,1,6
1,2,3
0,0,0
15,3146,79
0,1,7
1,2,3
0,0,0
15,3147,84
0,0,2
1,2,3
0,0,0
15,3147,84
0,0,2
1,2,3
15,6,0
0,2823,59
0,0,20
1,2,3
1,2,0
14,2819,53
0,8,26
1,2,3
0,0,0
15,2828,71
0,1,8
1,2,3
0,0,0
15,2826,72
0,3,7
