Tree Type,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,Microseconds Mean,Microseconds St Dev,Microseconds Median,Microseconds Min,Microseconds Max
decision-no-opts,0.0,0.0,0.0,0.0,0.0,0.07429521276595784,0.017935179796925334,0.07446808510638303,0.021276595744680882,0.13297872340425532,246293.4265,136408.36245137945,207298.5,67893,968213
decision-with-opts,0.05037139107611662,0.01001617903814518,0.04986876640419946,0.01837270341207353,0.08923884514435698,0.07215425531914947,0.019942058229721577,0.06914893617021277,0.010638297872340384,0.1436170212765957,178815.1215,116850.31960645564,147684.0,110154,863780
ada-no-opts,0.0,0.0,0.0,0.0,0.0,0.038122340425532475,0.013157956032864085,0.037234042553191515,0.005319148936170247,0.0957446808510638,85540.264,20024.907415086735,80930.0,75794,704427
ada-with-opts,0.0,0.0,0.0,0.0,0.0,0.038122340425532475,0.013157956032864085,0.037234042553191515,0.005319148936170247,0.0957446808510638,83712.3795,8219.413466686608,79655.5,75045,132333
