,OS Error,IS Error,Microseconds
mean,0.05567353723404384,0.012592847769029155,148590.297875
std,0.02397834717161111,0.02238013569578339,113317.85180937608
median,0.05319148936170215,0.0,117720.5
amin,0.005319148936170247,0.0,67893.0
amax,0.1436170212765957,0.08923884514435698,968213.0
