1,2,3
29,16,2
0,5945,105
0,0,75
1,2,3
3,2,2
26,5940,92
0,19,88
1,2,3
0,0,0
29,5958,149
0,3,33
1,2,3
0,0,0
29,5950,145
0,11,37
1,2,3
0,0,0
29,5957,163
0,4,19
1,2,3
0,0,0
29,5955,160
0,6,22
1,2,3
0,0,0
29,5956,163
0,5,19
1,2,3
0,0,0
29,5952,161
0,9,21
1,2,3
28,14,2
0,5634,102
0,0,67
1,2,3
3,2,2
25,5627,91
0,19,78
1,2,3
0,0,0
28,5646,139
0,2,32
1,2,3
0,0,0
28,5639,136
0,9,35
1,2,3
0,0,0
28,5645,153
0,3,18
1,2,3
0,0,0
28,5643,150
0,5,21
1,2,3
0,0,0
28,5645,158
0,3,13
1,2,3
0,0,0
28,5643,156
0,5,15
1,2,3
24,13,2
0,5326,98
0,0,59
1,2,3
3,2,2
21,5317,89
0,20,68
1,2,3
0,0,0
24,5337,131
0,2,28
1,2,3
0,0,0
24,5331,128
0,8,31
1,2,3
0,0,0
24,5337,143
0,2,16
1,2,3
0,0,0
24,5334,141
0,5,18
1,2,3
0,0,0
24,5336,147
0,3,12
1,2,3
0,0,0
24,5333,145
0,6,14
1,2,3
21,10,1
0,5015,94
0,0,56
1,2,3
2,1,1
19,5004,87
0,20,63
1,2,3
0,0,0
21,5023,124
0,2,27
1,2,3
0,0,0
21,5017,122
0,8,29
1,2,3
0,0,0
21,5023,137
0,2,14
1,2,3
0,0,0
21,5019,134
0,6,17
1,2,3
0,0,0
21,5022,143
0,3,8
1,2,3
0,0,0
21,5015,142
0,10,9
1,2,3
21,10,1
0,4701,87
0,0,52
1,2,3
2,1,1
19,4689,80
0,21,59
1,2,3
0,0,0
21,4709,115
0,2,25
1,2,3
0,0,0
21,4702,115
0,9,25
1,2,3
0,0,0
21,4708,129
0,3,11
1,2,3
0,0,0
21,4705,127
0,6,13
1,2,3
0,0,0
21,4708,132
0,3,8
1,2,3
0,0,0
21,4701,131
0,10,9
1,2,3
19,9,0
0,4393,82
0,0,44
1,2,3
1,1,0
18,4382,76
0,19,50
1,2,3
0,0,0
19,4400,107
0,2,19
1,2,3
0,0,0
19,4394,106
0,8,20
1,2,3
0,0,0
19,4399,119
0,3,7
1,2,3
0,0,0
19,4396,118
0,6,8
1,2,3
0,0,0
19,4397,119
0,5,7
1,2,3
0,0,0
19,4393,119
0,9,7
1,2,3
16,9,0
0,4079,73
0,0,46
1,2,3
1,1,0
15,4071,69
0,16,50
1,2,3
0,0,0
16,4087,99
0,1,20
1,2,3
0,0,0
16,4083,99
0,5,20
1,2,3
0,0,0
16,4086,112
0,2,7
1,2,3
0,0,0
16,4084,110
0,4,9
1,2,3
0,0,0
16,4084,112
0,4,7
1,2,3
0,0,0
16,4081,111
0,7,8
1,2,3
14,8,0
0,3765,70
0,0,41
1,2,3
1,0,0
13,3762,66
0,11,45
1,2,3
0,0,0
14,3771,91
0,2,20
