0.0,1.0
340,26
0,174
0.0,1.0
335,16
5,184
0.0,1.0
337,23
3,177
0.0,1.0
331,18
9,182
0.0,1.0
336,21
4,179
0.0,1.0
331,19
9,181
0.0,1.0
333,22
7,178
0.0,1.0
331,22
9,178
0.0,1.0
322,24
0,166
0.0,1.0
318,16
4,174
0.0,1.0
319,24
3,166
0.0,1.0
312,18
10,172
0.0,1.0
317,21
5,169
0.0,1.0
313,18
9,172
0.0,1.0
315,22
7,168
0.0,1.0
313,19
9,171
0.0,1.0
302,23
0,158
0.0,1.0
297,16
5,165
0.0,1.0
300,22
2,159
0.0,1.0
295,17
7,164
0.0,1.0
299,20
3,161
0.0,1.0
294,18
8,163
0.0,1.0
295,19
7,162
0.0,1.0
293,17
9,164
0.0,1.0
283,23
0,149
0.0,1.0
278,16
5,156
0.0,1.0
281,22
2,150
0.0,1.0
276,17
7,155
0.0,1.0
280,20
3,152
0.0,1.0
275,17
8,155
0.0,1.0
276,19
7,153
0.0,1.0
274,17
9,155
0.0,1.0
262,22
0,142
0.0,1.0
255,15
7,149
0.0,1.0
258,18
4,146
0.0,1.0
255,13
7,151
0.0,1.0
257,18
5,146
0.0,1.0
255,15
7,149
0.0,1.0
256,15
6,149
0.0,1.0
256,15
6,149
0.0,1.0
245,20
0,133
0.0,1.0
239,15
6,138
0.0,1.0
241,19
4,134
0.0,1.0
238,13
7,140
0.0,1.0
240,16
5,137
0.0,1.0
238,14
7,139
0.0,1.0
239,15
6,138
0.0,1.0
239,15
6,138
0.0,1.0
228,19
0,122
0.0,1.0
222,15
6,126
0.0,1.0
224,18
4,123
0.0,1.0
222,13
6,128
0.0,1.0
222,15
6,126
0.0,1.0
222,14
6,127
0.0,1.0
222,15
6,126
0.0,1.0
221,15
7,126
0.0,1.0
216,16
0,109
0.0,1.0
210,11
6,114
0.0,1.0
211,14
5,111
0.0,1.0
211,10
5,115
0.0,1.0
211,11
5,114
0.0,1.0
211,11
5,114
0.0,1.0
211,12
5,113
0.0,1.0
210,12
6,113
0.0,1.0
197,14
0,101
0.0,1.0
191,9
6,106
0.0,1.0
192,12
5,103
0.0,1.0
192,8
5,107
0.0,1.0
192,9
5,106
0.0,1.0
192,9
5,106
0.0,1.0
192,10
5,105
0.0,1.0
192,10
5,105
0.0,1.0
178,15
0,91
0.0,1.0
174,8
4,98
0.0,1.0
174,13
4,93
0.0,1.0
173,7
5,99
0.0,1.0
174,10
4,96
0.0,1.0
173,8
5,98
0.0,1.0
173,11
5,95
0.0,1.0
173,11
5,95
0.0,1.0
159,12
0,85
0.0,1.0
156,8
3,89
0.0,1.0
157,12
2,85
0.0,1.0
156,8
3,89
0.0,1.0
156,10
3,87
0.0,1.0
155,8
4,89
0.0,1.0
156,11
3,86
0.0,1.0
155,10
4,87
0.0,1.0
138,11
0,78
0.0,1.0
136,6
2,83
0.0,1.0
136,11
2,78
0.0,1.0
135,7
3,82
0.0,1.0
135,9
3,80
0.0,1.0
135,7
3,82
0.0,1.0
135,12
3,77
0.0,1.0
134,11
4,78
0.0,1.0
123,9
0,67
0.0,1.0
121,6
2,70
0.0,1.0
121,10
2,66
0.0,1.0
120,6
3,70
0.0,1.0
120,9
3,67
0.0,1.0
120,7
3,69
0.0,1.0
121,14
2,62
0.0,1.0
120,11
3,65
0.0,1.0
104,8
0,58
0.0,1.0
102,7
2,59
0.0,1.0
103,8
1,58
0.0,1.0
101,4
3,62
0.0,1.0
102,7
2,59
0.0,1.0
102,7
2,59
0.0,1.0
102,11
2,55
0.0,1.0
101,10
3,56
0.0,1.0
86,7
0,49
0.0,1.0
84,5
2,51
0.0,1.0
84,6
2,50
0.0,1.0
84,3
2,53
0.0,1.0
85,6
1,50
0.0,1.0
84,6
2,50
0.0,1.0
84,10
2,46
0.0,1.0
84,8
2,48
0.0,1.0
64,5
0,44
0.0,1.0
63,4
1,45
0.0,1.0
63,7
1,42
0.0,1.0
63,4
1,45
0.0,1.0
64,5
0,44
0.0,1.0
62,5
2,44
0.0,1.0
63,6
1,43
0.0,1.0
63,5
1,44
0.0,1.0
46,3
0,36
0.0,1.0
45,1
1,38
0.0,1.0
45,3
1,36
0.0,1.0
45,3
1,36
0.0,1.0
46,3
0,36
0.0,1.0
46,3
0,36
0.0,1.0
46,3
0,36
0.0,1.0
46,3
0,36
0.0,1.0
30,1
0,25
0.0,1.0
30,1
0,25
0.0,1.0
30,1
0,25
0.0,1.0
30,1
0,25
0.0,1.0
30,1
0,25
0.0,1.0
30,1
0,25
0.0,1.0
30,1
0,25
0.0,1.0
30,1
0,25
0.0,1.0
14,0
0,14
0.0,1.0
14,0
0,14
0.0,1.0
14,0
0,14
0.0,1.0
14,0
0,14
0.0,1.0
14,0
0,14
0.0,1.0
14,0
0,14
0.0,1.0
14,0
0,14
0.0,1.0
14,0
0,14
