3,4,5,6,7,8,9
1,9,107,74,5,1,0
5,34,241,183,51,13,0
9,32,477,618,217,36,0
10,92,1037,1409,548,93,2
3,39,159,373,153,26,0
2,0,3,39,51,14,2
0,1,0,2,0,0,1
3,4,5,6,7,8,9
11,96,591,577,189,19,0
0,0,0,0,0,0,0
11,71,1071,990,168,27,0
7,29,263,979,613,131,4
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
0,0,1,2,0,0,0
15,105,616,589,177,24,0
5,55,840,722,132,13,0
9,21,361,1004,486,96,0
0,1,6,90,116,33,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
12,63,541,379,44,9,0
0,0,0,0,0,0,0
6,57,899,896,169,17,0
10,53,272,992,648,128,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
0,1,9,22,17,1,0
0,0,0,0,0,0,0
13,104,1222,943,151,18,0
13,58,349,1006,463,79,0
1,5,15,150,181,49,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
5,13,75,68,19,3,0
5,68,427,334,82,9,0
4,46,685,607,127,13,0
10,28,305,894,429,85,0
0,1,5,76,96,26,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
5,11,76,69,19,2,0
4,65,392,311,76,9,0
9,48,730,625,107,13,0
3,21,182,777,404,78,0
0,1,5,67,89,23,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
8,44,396,272,54,5,0
4,39,130,200,78,13,0
4,29,266,238,66,9,0
0,9,153,618,305,65,0
0,0,5,51,81,20,2
2,19,329,322,55,7,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
4,45,316,201,32,3,0
6,31,89,180,80,10,0
4,43,616,512,91,12,0
3,10,150,599,306,63,0
0,1,5,61,79,19,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
4,37,292,183,27,3,0
5,30,76,164,75,9,0
3,40,566,461,83,12,0
3,10,132,550,288,61,0
0,0,5,43,66,18,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
4,25,171,94,5,0,0
1,2,1,0,0,0,0
3,44,562,473,79,12,0
5,40,214,709,393,84,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
3,23,152,81,5,0,0
1,2,1,0,0,0,0
3,41,494,421,71,11,0
5,36,189,634,347,76,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
3,22,132,72,5,0,0
1,2,1,0,0,0,0
2,38,420,375,70,10,0
4,31,165,556,294,68,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
4,20,112,56,4,0,0
0,11,48,35,11,2,0
2,22,285,235,38,10,0
4,28,174,511,269,60,2
0,1,1,0,3,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
1,0,0,0,0,0,0
2,22,118,67,12,0,0
2,30,275,238,40,9,0
4,21,121,393,221,47,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
1,0,0,0,0,0,0
2,16,98,53,10,0,0
2,24,221,193,34,7,0
2,12,88,275,129,29,0
0,1,6,41,42,12,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,4,5,6,7,8
1,0,3,1,0,0
3,5,46,36,6,0
2,15,83,47,22,0
0,22,167,278,106,29
0,0,3,13,10,2
0,1,8,36,19,10
3,4,5,6,7,8
1,0,3,0,1,0
0,0,0,0,0,0
3,25,171,152,31,3
1,3,31,121,79,24
0,0,0,0,0,0
0,0,0,0,0,0
3,4,5,6,7,8
2,0,0,0,0,0
0,0,0,0,0,0
0,10,98,60,19,0
1,3,16,58,37,12
0,0,0,1,4,0
0,0,0,1,1,1
