1,2,3
29,17,2
0,5937,108
0,0,79
1,2,3
3,2,2
26,5933,94
0,19,93
1,2,3
0,0,0
29,5949,157
0,5,32
1,2,3
0,0,0
29,5943,152
0,11,37
1,2,3
0,0,0
29,5949,170
0,5,19
1,2,3
0,0,0
29,5944,168
0,10,21
1,2,3
0,0,0
29,5946,170
0,8,19
1,2,3
0,0,0
29,5944,167
0,10,22
1,2,3
26,15,2
0,5628,103
0,0,73
1,2,3
3,2,2
23,5618,90
0,23,86
1,2,3
0,0,0
26,5640,147
0,3,31
1,2,3
0,0,0
26,5633,141
0,10,37
1,2,3
0,0,0
26,5638,159
0,5,19
1,2,3
0,0,0
26,5635,156
0,8,22
1,2,3
0,0,0
26,5635,160
0,8,18
1,2,3
0,0,0
26,5634,158
0,9,20
1,2,3
23,15,1
0,5315,97
0,0,71
1,2,3
2,1,1
21,5307,88
0,22,80
1,2,3
0,0,0
23,5325,139
0,5,30
1,2,3
0,0,0
23,5321,133
0,9,36
1,2,3
0,0,0
23,5325,149
0,5,20
1,2,3
0,0,0
23,5321,146
0,9,23
1,2,3
0,0,0
23,5322,152
0,8,17
1,2,3
0,0,0
23,5319,150
0,11,19
1,2,3
22,15,1
0,4998,94
0,0,67
1,2,3
2,2,1
20,4990,86
0,21,75
1,2,3
0,0,0
22,5009,132
0,4,30
1,2,3
0,0,0
22,5004,128
0,9,34
1,2,3
0,0,0
22,5009,142
0,4,20
1,2,3
0,0,0
22,5004,140
0,9,22
1,2,3
0,0,0
22,5005,145
0,8,17
1,2,3
0,0,0
22,5002,144
0,11,18
1,2,3
21,15,1
0,4683,90
0,0,62
1,2,3
2,2,1
19,4678,82
0,18,70
1,2,3
0,0,0
21,4696,126
0,2,27
1,2,3
0,0,0
21,4690,123
0,8,30
1,2,3
0,0,0
21,4696,134
0,2,19
1,2,3
0,0,0
21,4689,132
0,9,21
1,2,3
0,0,0
21,4692,137
0,6,16
1,2,3
0,0,0
21,4688,136
0,10,17
1,2,3
20,12,1
0,4370,88
0,0,56
1,2,3
2,1,1
18,4365,82
0,16,62
1,2,3
0,0,0
19,4381,120
1,1,25
1,2,3
0,0,0
20,4374,116
0,8,29
1,2,3
0,0,0
20,4379,127
0,3,18
1,2,3
0,0,0
20,4374,126
0,8,19
1,2,3
0,0,0
20,4378,132
0,4,13
1,2,3
0,0,0
20,4375,132
0,7,13
1,2,3
20,11,2
0,4067,87
0,0,36
1,2,3
2,1,2
18,4063,80
0,14,43
1,2,3
0,0,0
20,4076,105
0,2,20
1,2,3
0,0,0
20,4070,102
0,8,23
1,2,3
0,0,0
20,4073,110
0,5,15
1,2,3
0,0,0
20,4071,109
0,7,16
1,2,3
0,0,0
20,4073,113
0,5,12
1,2,3
0,0,0
20,4072,113
0,6,12
1,2,3
19,9,2
0,3755,82
0,0,31
1,2,3
2,1,2
17,3750,75
0,13,38
1,2,3
0,0,0
19,3762,100
0,2,15
1,2,3
0,0,0
19,3759,99
0,5,16
1,2,3
0,0,0
19,3760,102
0,4,13
1,2,3
0,0,0
19,3759,102
0,5,13
1,2,3
0,0,0
19,3760,103
0,4,12
1,2,3
0,0,0
19,3758,103
0,6,12
1,2,3
16,8,1
0,3447,73
0,0,28
1,2,3
1,1,1
15,3445,66
0,9,35
1,2,3
0,0,0
16,3453,91
0,2,11
1,2,3
0,0,0
16,3450,90
0,5,12
1,2,3
0,0,0
16,3451,91
0,4,11
1,2,3
0,0,0
16,3450,91
0,5,11
1,2,3
0,0,0
16,3453,95
0,2,7
1,2,3
0,0,0
16,3451,95
0,4,7
1,2,3
12,8,0
0,3135,67
0,0,26
1,2,3
0,0,0
12,3136,62
0,7,31
1,2,3
0,0,0
12,3141,82
0,2,11
1,2,3
0,0,0
12,3138,82
0,5,11
1,2,3
0,0,0
12,3139,82
0,4,11
1,2,3
0,0,0
12,3138,82
0,5,11
1,2,3
0,0,0
12,3141,86
0,2,7
1,2,3
0,0,0
12,3139,86
0,4,7
1,2,3
12,7,0
0,2815,64
0,0,25
1,2,3
0,0,0
12,2813,59
0,9,30
1,2,3
0,0,0
12,2820,78
0,2,11
1,2,3
0,0,0
12,2815,78
0,7,11
1,2,3
0,0,0
12,2817,78
0,5,11
1,2,3
0,0,0
12,2817,78
0,5,11
1,2,3
0,0,0
12,2819,82
0,3,7
1,2,3
0,0,0
12,2817,82
0,5,7
1,2,3
11,6,0
0,2503,59
0,0,19
1,2,3
0,0,0
11,2505,55
0,4,23
1,2,3
0,0,0
11,2508,68
0,1,10
1,2,3
0,0,0
11,2505,68
0,4,10
1,2,3
0,0,0
11,2507,71
0,2,7
1,2,3
0,0,0
11,2507,71
0,2,7
1,2,3
0,0,0
11,2507,71
0,2,7
1,2,3
0,0,0
11,2504,71
0,5,7
1,2,3
9,7,0
0,2185,52
0,0,20
1,2,3
0,0,0
9,2189,50
0,3,22
1,2,3
0,0,0
9,2191,62
0,1,10
1,2,3
0,0,0
9,2188,62
0,4,10
1,2,3
0,0,0
9,2190,65
0,2,7
1,2,3
0,0,0
9,2190,65
0,2,7
1,2,3
0,0,0
9,2190,65
0,2,7
1,2,3
0,0,0
9,2187,65
0,5,7
1,2,3
6,4,0
0,1876,46
0,0,17
1,2,3
0,0,0
6,1876,45
0,4,18
1,2,3
0,0,0
6,1880,57
0,0,6
1,2,3
0,0,0
6,1878,57
0,2,6
1,2,3
0,0,0
6,1878,57
0,2,6
1,2,3
0,0,0
6,1878,57
0,2,6
1,2,3
0,0,0
6,1878,57
0,2,6
1,2,3
0,0,0
6,1875,57
0,5,6
1,2,3
4,2,0
0,1566,39
0,0,13
1,2,3
0,0,0
4,1568,37
0,0,15
1,2,3
0,0,0
4,1568,47
0,0,5
1,2,3
0,0,0
4,1566,47
0,2,5
1,2,3
0,0,0
4,1566,47
0,2,5
1,2,3
0,0,0
4,1566,47
0,2,5
1,2,3
0,0,0
4,1566,47
0,2,5
1,2,3
0,0,0
4,1565,47
0,3,5
1,2,3
3,1,0
0,1248,34
0,0,13
1,2,3
0,0,0
3,1247,34
0,2,13
1,2,3
0,0,0
3,1248,42
0,1,5
1,2,3
0,0,0
3,1248,42
0,1,5
1,2,3
0,0,0
3,1248,42
0,1,5
1,2,3
0,0,0
3,1248,42
0,1,5
1,2,3
0,0,0
3,1248,42
0,1,5
1,2,3
0,0,0
3,1246,42
0,3,5
1,2,3
3,1,0
0,936,23
0,0,11
1,2,3
0,0,0
3,934,21
0,3,13
1,2,3
0,0,0
3,936,29
0,1,5
1,2,3
0,0,0
3,936,29
0,1,5
1,2,3
0,0,0
3,936,29
0,1,5
1,2,3
0,0,0
3,934,29
0,3,5
1,2,3
0,0,0
3,934,29
0,3,5
1,2,3
0,0,0
3,930,29
0,7,5
1,2,3
2,2,0
0,619,17
0,0,9
