3,4,5,6,7,8,9
30,9,10,2,2,0,0
0,194,45,60,9,1,0
0,0,1970,494,98,15,2
0,0,0,2149,311,66,2
0,0,0,0,598,29,1
0,0,0,0,0,75,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
23,9,8,5,3,0,0
2,97,49,56,19,4,0
3,46,1606,345,116,22,2
1,40,301,2160,200,57,3
1,11,58,129,675,21,0
0,0,3,10,5,82,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
11,4,3,3,3,1,0
3,55,28,18,11,2,0
8,65,1636,595,118,20,1
6,62,283,1960,355,71,3
2,16,68,117,520,38,1
0,1,7,12,11,54,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
5,1,1,1,0,0,0
5,43,23,21,6,0,0
12,93,1472,541,152,20,1
5,51,472,1984,346,87,4
3,14,53,151,510,42,0
0,1,4,7,4,37,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
1,1,0,0,0,0,0
3,45,25,22,4,0,0
12,86,1523,678,170,25,0
11,57,398,1851,373,82,5
3,14,77,144,467,40,0
0,0,2,10,4,39,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
1,0,0,0,0,0,0
3,19,13,14,4,2,0
14,108,1370,590,148,35,0
9,62,560,1932,395,78,5
3,14,80,161,468,40,0
0,0,2,8,3,31,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
1,0,0,0,0,0,0
3,17,8,11,5,0,0
14,99,1400,663,163,30,0
9,74,540,1865,427,99,4
3,13,74,160,418,33,1
0,0,3,6,5,24,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
0,0,0,0,0,0,0
1,14,9,9,5,0,0
14,112,1300,644,173,34,1
14,66,635,1879,454,97,3
1,11,77,168,384,35,1
0,0,4,5,2,20,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
30,8,9,2,2,0,0
0,184,45,56,10,1,0
0,0,1865,479,100,15,2
0,0,0,2014,299,63,2
0,0,0,0,558,32,1
0,0,0,0,0,70,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
23,9,7,4,3,0,0
2,95,44,50,18,4,0
3,39,1518,338,119,22,2
1,39,299,2024,192,56,3
1,10,48,125,632,21,0
0,0,3,10,5,78,0
0,0,0,0,0,0,0
3,4,5,6,7,8,9
10,5,3,3,3,1,0
5,53,25,18,11,2,0
8,58,1545,565,112,20,1
5,58,279,1837,344,68,4
2,17,61,117,488,39,0
0,1,6,11,11,51,0
0,0,0,0,0,0,0
