1,2,3
30,17,1
0,5936,111
0,0,77
1,2,3
2,1,1
28,5928,94
0,24,94
1,2,3
0,0,0
30,5946,159
0,7,30
1,2,3
0,0,0
30,5941,154
0,12,35
1,2,3
0,0,0
30,5948,170
0,5,19
1,2,3
0,0,0
30,5946,168
0,7,21
1,2,3
0,0,0
30,5947,170
0,6,19
1,2,3
0,0,0
30,5945,167
0,8,22
1,2,3
30,16,0
0,5619,107
0,0,75
1,2,3
1,1,0
29,5610,92
0,24,90
1,2,3
0,0,0
30,5628,152
0,7,30
1,2,3
0,0,0
30,5623,148
0,12,34
1,2,3
0,0,0
30,5630,163
0,5,19
1,2,3
0,0,0
30,5628,160
0,7,22
1,2,3
0,0,0
30,5629,163
0,6,19
1,2,3
0,0,0
30,5626,160
0,9,22
1,2,3
29,17,0
0,5303,106
0,0,67
1,2,3
0,0,0
29,5296,93
0,24,80
1,2,3
0,0,0
29,5313,146
0,7,27
1,2,3
0,0,0
29,5310,141
0,10,32
1,2,3
0,0,0
29,5315,156
0,5,17
1,2,3
0,0,0
29,5313,153
0,7,20
1,2,3
0,0,0
29,5315,157
0,5,16
1,2,3
0,0,0
29,5311,154
0,9,19
1,2,3
28,15,0
0,4995,98
0,0,61
1,2,3
0,0,0
28,4988,88
0,22,71
1,2,3
0,0,0
28,5003,136
0,7,23
1,2,3
0,0,0
28,5000,132
0,10,27
1,2,3
0,0,0
28,5005,147
0,5,12
1,2,3
0,0,0
28,5003,143
0,7,16
1,2,3
0,0,0
28,5007,152
0,3,7
1,2,3
0,0,0
28,5003,147
0,7,12
1,2,3
27,15,0
0,4681,93
0,0,56
1,2,3
0,0,0
27,4676,86
0,20,63
1,2,3
0,0,0
27,4691,131
0,5,18
1,2,3
0,0,0
27,4689,127
0,7,22
1,2,3
0,0,0
27,4692,137
0,4,12
1,2,3
0,0,0
27,4691,136
0,5,13
1,2,3
0,0,0
27,4694,141
0,2,8
1,2,3
0,0,0
27,4690,139
0,6,10
1,2,3
26,16,0
0,4367,90
0,0,48
1,2,3
0,0,0
26,4364,83
0,19,55
1,2,3
0,0,0
26,4378,118
0,5,20
1,2,3
0,0,0
26,4375,115
0,8,23
1,2,3
0,0,0
26,4378,124
0,5,14
1,2,3
0,0,0
26,4377,122
0,6,16
1,2,3
0,0,0
26,4381,129
0,2,9
1,2,3
0,0,0
26,4379,129
0,4,9
1,2,3
24,16,0
0,4061,84
0,0,38
1,2,3
0,0,0
24,4059,76
0,18,46
1,2,3
0,0,0
24,4071,104
0,6,18
1,2,3
0,0,0
24,4068,102
0,9,20
1,2,3
0,0,0
24,4073,111
0,4,11
1,2,3
0,0,0
24,4071,111
0,6,11
1,2,3
0,0,0
24,4076,117
0,1,5
1,2,3
0,0,0
24,4075,117
0,2,5
1,2,3
24,16,0
0,3745,77
0,0,36
1,2,3
0,0,0
24,3739,68
0,22,45
1,2,3
0,0,0
24,3756,97
0,5,16
1,2,3
0,0,0
24,3753,95
0,8,18
1,2,3
0,0,0
24,3758,107
0,3,6
1,2,3
0,0,0
24,3758,107
0,3,6
1,2,3
0,0,0
24,3761,113
0,0,0
1,2,3
0,0,0
24,3761,113
0,0,0
1,2,3
24,18,0
0,3425,73
0,0,33
1,2,3
