Kernel,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,µs Mean,µs St Dev,µs Median,µs Min,µs Max
linear,0.05778074145503297,0.025619714635773158,0.06293706293706293,0.0,0.11645101663585955,0.027718121255858784,0.009989525059251773,0.030769230769230767,0.0,0.039337474120082816,498619.82608695654,388143.65453792916,475112,595,1232693
poly,0.09390495934927696,0.015598179097222553,0.0964912280701754,0.06896551724137934,0.12475633528265108,0.08745346847538786,0.0082046527647897,0.08703703703703702,0.07058823529411762,0.1071428571428571,1727.5238095238096,811.1823851050773,1786,633,3058
rbf,0.10111655237649142,0.025511996817465268,0.10025062656641603,0.06896551724137934,0.19778188539741212,0.08731750724649537,0.014589029699772774,0.08333333333333337,0.07472527472527468,0.1428571428571429,1882.7619047619048,1010.4582081789381,1913,584,3763
sigmoid,0.45953467394259623,0.08912034496117091,0.4054054054054054,0.3826247689463955,0.7241379310344828,0.4243051656039647,0.13308151159178372,0.35546875,0.1785714285714286,0.578125,3979.6190476190477,2746.3477288244203,3260,579,8556
