Tree Type,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,Microseconds Mean,Microseconds St Dev,Microseconds Median,Microseconds Min,Microseconds Max
ada-no-opts,0.6089878216911767,0.07276057123839753,0.6090303308823529,0.4875919117647058,0.8883272058823529,0.6136251748251748,0.07179080640903854,0.6130536130536131,0.4806526806526806,0.8927738927738927,164744.159,16198.141767574498,163962.0,158643,671864
ada-with-opts,0.6089878216911767,0.07276057123839753,0.6090303308823529,0.4875919117647058,0.8883272058823529,0.6136251748251748,0.07179080640903854,0.6130536130536131,0.4806526806526806,0.8927738927738927,161971.295,2170.9722039411963,161588.5,156847,178804
decision-with-opts,0.49295266544117683,0.017350678046849036,0.4912683823529411,0.4515165441176471,0.5402113970588236,0.498168298368299,0.020077016964002836,0.49673659673659676,0.4461538461538461,0.565967365967366,171144.493,80726.96704532062,156666.0,148437,698555
decision-no-opts,0.0,0.0,0.0,0.0,0.0,0.4167435897435897,0.010296463037528767,0.4167832167832168,0.37995337995338,0.4526806526806527,509274.395,282650.92220611445,518395.0,1164,999594
