,OS Error,IS Error,Microseconds
mean,0.5355405594405598,0.42773207720588274,251783.5855
std,0.09813202421735824,0.2568365570117245,209212.13139526825
median,0.5212121212121212,0.5134420955882353,162719.0
amin,0.37995337995338,0.0,1164.0
amax,0.8927738927738927,0.8883272058823529,999594.0
