k,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,µs Mean,µs St Dev,µs Median,µs Min,µs Max
2,0.08698424487483147,0.023725143062141317,0.08648648648648649,0.0,0.28835489833641403,0.053471778810502066,0.01632825869820293,0.05276381909547734,0.0,0.25,676.6816842105263,75.97708565352188,670,555,6649
3,0.07841208624138608,0.021698085075616973,0.07719298245614037,0.0,0.28465804066543443,0.04731872329342293,0.015404227779147435,0.04522613065326631,0.0,0.2142857142857143,676.9364736842106,62.76465386686144,670,551,1651
4,0.08107154989878104,0.023996722080804424,0.07987220447284349,0.0,0.3641404805914972,0.058601120474860026,0.018408238431955767,0.0546875,0.0,0.25,676.8261578947369,62.53868440143077,670,555,1623
5,0.07594650237795664,0.022687558019066932,0.07456140350877194,0.0,0.3345656192236599,0.057449815264028294,0.017352915879190297,0.0546875,0.0,0.2142857142857143,675.883052631579,61.17737921068651,670,558,1623
6,0.08060129625318158,0.024947816436184087,0.07894736842105265,0.0,0.3863216266173752,0.06379339300129584,0.02019458146497456,0.058823529411764726,0.0,0.2857142857142857,675.9333684210526,61.31783011949949,670,555,1597
7,0.0765814993111673,0.023963714359320067,0.07499999999999996,0.0,0.3863216266173752,0.06296419740740107,0.019126660241310187,0.05925925925925924,0.0,0.3214285714285714,675.964,60.48608536920443,670,557,1466
8,0.08107331700919206,0.02717696167935597,0.07894736842105265,0.0,0.3863216266173752,0.0687189245717032,0.021185761454403103,0.0641025641025641,0.0,0.3214285714285714,675.8423157894737,60.89826122153722,670,554,1626
9,0.07772180282633262,0.026338686855055582,0.07602339181286555,0.0,0.3863216266173752,0.06663063626332298,0.02055801427313095,0.062111801242236024,0.0,0.3214285714285714,675.8962105263158,61.949057599940964,670,559,2159
