0.0,1.0
336,27
0,177
0.0,1.0
331,16
5,188
0.0,1.0
333,22
3,182
0.0,1.0
327,20
9,184
0.0,1.0
329,22
7,182
0.0,1.0
325,20
11,184
0.0,1.0
327,21
9,183
0.0,1.0
326,20
10,184
0.0,1.0
315,27
0,170
0.0,1.0
310,16
5,181
0.0,1.0
312,22
3,175
0.0,1.0
305,18
10,179
0.0,1.0
307,21
8,176
0.0,1.0
304,20
11,177
0.0,1.0
306,21
9,176
0.0,1.0
304,20
11,177
0.0,1.0
299,25
0,159
0.0,1.0
294,15
5,169
0.0,1.0
296,23
3,161
0.0,1.0
289,17
10,167
0.0,1.0
292,21
7,163
0.0,1.0
288,19
11,165
0.0,1.0
291,22
8,162
0.0,1.0
288,19
11,165
0.0,1.0
282,25
0,148
0.0,1.0
277,15
5,158
0.0,1.0
279,23
3,150
0.0,1.0
272,17
10,156
0.0,1.0
275,21
7,152
0.0,1.0
271,19
11,154
0.0,1.0
274,24
8,149
0.0,1.0
272,19
10,154
0.0,1.0
265,22
0,139
0.0,1.0
260,16
5,145
0.0,1.0
263,23
2,138
0.0,1.0
258,19
7,142
0.0,1.0
259,20
6,141
0.0,1.0
255,19
10,142
0.0,1.0
257,22
8,139
0.0,1.0
257,18
8,143
0.0,1.0
246,21
0,131
0.0,1.0
241,15
5,137
0.0,1.0
244,22
2,130
0.0,1.0
239,18
7,134
0.0,1.0
240,19
6,133
0.0,1.0
236,17
10,135
0.0,1.0
238,21
8,131
0.0,1.0
238,18
8,134
0.0,1.0
229,18
0,122
0.0,1.0
225,14
4,126
0.0,1.0
227,21
2,119
0.0,1.0
224,16
5,124
0.0,1.0
226,19
3,121
0.0,1.0
222,16
7,124
0.0,1.0
223,21
6,119
0.0,1.0
221,18
8,122
0.0,1.0
209,18
0,114
0.0,1.0
205,14
4,118
0.0,1.0
208,20
1,112
0.0,1.0
206,17
3,115
0.0,1.0
206,19
3,113
0.0,1.0
202,16
7,116
0.0,1.0
203,20
6,112
0.0,1.0
201,18
8,114
0.0,1.0
189,16
0,107
0.0,1.0
186,12
3,111
0.0,1.0
188,18
1,105
0.0,1.0
186,15
3,108
0.0,1.0
187,18
2,105
0.0,1.0
183,14
6,109
0.0,1.0
184,17
5,106
0.0,1.0
183,14
6,109
0.0,1.0
171,13
0,100
0.0,1.0
169,9
2,104
0.0,1.0
170,15
1,98
0.0,1.0
168,11
3,102
0.0,1.0
168,13
3,100
0.0,1.0
165,10
6,103
0.0,1.0
166,13
5,100
0.0,1.0
166,10
5,103
0.0,1.0
159,12
0,85
0.0,1.0
157,8
2,89
0.0,1.0
158,11
1,86
0.0,1.0
156,9
3,88
0.0,1.0
156,9
3,88
0.0,1.0
153,7
6,90
0.0,1.0
154,9
5,88
0.0,1.0
154,6
5,91
0.0,1.0
143,14
0,70
0.0,1.0
141,9
2,75
0.0,1.0
142,9
1,75
0.0,1.0
140,8
3,76
0.0,1.0
140,10
3,74
0.0,1.0
138,8
5,76
0.0,1.0
140,10
3,74
0.0,1.0
140,7
3,77
0.0,1.0
122,13
0,64
0.0,1.0
120,7
2,70
0.0,1.0
120,8
2,69
0.0,1.0
119,7
3,70
0.0,1.0
119,8
3,69
0.0,1.0
119,6
3,71
0.0,1.0
120,9
2,68
0.0,1.0
120,7
2,70
0.0,1.0
103,11
0,56
0.0,1.0
101,7
2,60
0.0,1.0
101,8
2,59
0.0,1.0
100,7
3,60
0.0,1.0
101,7
2,60
0.0,1.0
101,6
2,61
0.0,1.0
101,10
2,57
0.0,1.0
101,7
2,60
0.0,1.0
88,8
0,46
0.0,1.0
88,7
0,47
0.0,1.0
88,8
0,46
0.0,1.0
88,7
0,47
0.0,1.0
88,8
0,46
0.0,1.0
88,7
0,47
0.0,1.0
88,9
0,45
0.0,1.0
87,7
1,47
0.0,1.0
69,7
0,37
0.0,1.0
68,5
1,39
0.0,1.0
69,7
0,37
0.0,1.0
68,5
1,39
0.0,1.0
68,6
1,38
0.0,1.0
68,5
1,39
0.0,1.0
69,6
0,38
0.0,1.0
69,6
0,38
0.0,1.0
53,6
0,26
0.0,1.0
53,5
0,27
0.0,1.0
53,5
0,27
0.0,1.0
53,5
0,27
0.0,1.0
53,5
0,27
0.0,1.0
53,5
0,27
0.0,1.0
53,6
0,26
0.0,1.0
53,5
0,27
0.0,1.0
35,5
0,16
0.0,1.0
35,3
0,18
0.0,1.0
35,5
0,16
0.0,1.0
35,5
0,16
0.0,1.0
35,5
0,16
0.0,1.0
35,5
0,16
0.0,1.0
35,8
0,13
0.0,1.0
35,5
0,16
0.0,1.0
14,4
0,10
0.0,1.0
14,2
0,12
0.0,1.0
14,5
0,9
0.0,1.0
12,2
2,12
0.0,1.0
14,4
0,10
0.0,1.0
12,2
2,12
0.0,1.0
14,5
0,9
0.0,1.0
14,5
0,9
