Shape,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,Time Mean,Time St Dev,Time Median,Time Min,Time Max
"(7, 7)",0.5273089152977436,0.03394539338894763,0.52327371038327,0.4297435897435897,0.6461538461538461,0.5212117466706004,0.034994073090448455,0.5123783426810815,0.4259259259259259,0.6610227467077134,190147.13631578948,102005.95733390767,182627.5,13164,440610
"(9, 9, 9)",0.5256015150777634,0.030227194103637216,0.5213719019580376,0.44307692307692303,0.6719585290782439,0.5178044099971519,0.030247512646545537,0.5128674011929362,0.3858024691358025,0.6265432098765432,272883.8252631579,135382.36603605657,268271.0,18108,561730
7,0.5252605557769636,0.03763655879474804,0.5169230769230769,0.4215384615384615,0.677660510114336,0.5206190990122589,0.03905509663167378,0.5080614130662366,0.4012345679012346,0.6717336925149124,137673.4257894737,82045.61718164137,132890.5,13207,351448
"(8, 8)",0.525138723716854,0.03362646729797112,0.5180162981817464,0.4215384615384615,0.6730924995950105,0.5185714466223187,0.03422584025433942,0.5093175669372143,0.4166666666666666,0.6712856043110085,205931.77105263158,105180.302124651,205262.5,14596,419508
"(9, 9, 9, 9)",0.5249268019385367,0.029615448016191287,0.5213645980328118,0.43692307692307697,0.6648307144014256,0.5161245199772986,0.030720776521417748,0.5095823595276411,0.4228395061728395,0.6172839506172839,332683.56157894735,159623.80393716707,330725.0,17612,673530
8,0.5245106299688036,0.03889846157319151,0.5136798905608755,0.4246153846153846,0.7814487995074902,0.5189953391756452,0.04080066701165078,0.5059760956175299,0.3888888888888888,0.7721674876847291,144198.00210526315,80711.07740640154,137707.5,14119,311313
"(9, 9, 9, 9, 9)",0.5238867362043511,0.028713101650639523,0.5201616669103581,0.4492307692307692,0.6523570387169934,0.5149380520582514,0.028974930745087484,0.5104679802955665,0.4135802469135802,0.6234567901234568,391249.47736842104,185926.37530171755,387056.0,20583,807226
"(10, 10, 10, 10, 10)",0.5220468047954124,0.027171071121789528,0.5181398505735031,0.44820512820512826,0.6449052324639559,0.5109693874985402,0.027659026606428286,0.5062203542153693,0.40740740740740733,0.5901386748844376,408208.16105263156,194130.75557978792,403195.0,26934,988749
"(10, 10, 10)",0.520480800659712,0.028995014791799053,0.5157525746718878,0.44307692307692303,0.6479831524380366,0.512025633718084,0.028422300745932428,0.5061570035915854,0.40432098765432106,0.6265432098765432,283952.6757894737,139088.7324848582,275715.0,17433,594125
"(9, 9)",0.5203146175681902,0.03010236881991461,0.516069462106155,0.44,0.6670986554349587,0.5127257508463384,0.03151721670579533,0.5069310753441962,0.4104938271604939,0.6234567901234568,223666.00421052633,103730.90974106152,218828.5,15304,458060
"(10, 10, 10, 10)",0.5186712344362642,0.026432029202217457,0.5159580984722935,0.4092307692307692,0.6264377126194719,0.5093749507550899,0.02629596718967852,0.5051682427974489,0.41975308641975306,0.6141975308641976,359318.39578947367,159692.40409492835,359577.0,20789,765711
"(10, 10)",0.5176371280001073,0.02846633342235418,0.5127250248133458,0.44,0.5844327176781003,0.5097030335296723,0.030287518000116854,0.5023451006672627,0.4351851851851852,0.6080246913580247,232745.5894736842,105623.23272796639,230980.5,16199,490623
9,0.5172325038292936,0.03178356769830245,0.5092307692307692,0.4276923076923077,0.6947999352016847,0.5106715310555198,0.03270908609801858,0.5003849114703618,0.40740740740740733,0.7160493827160495,160777.39842105264,80399.75214045862,156353.0,14958,323382
"(11, 11)",0.5171096570925626,0.028331851300074762,0.5128205128205128,0.4215384615384615,0.6246153846153846,0.509046956080195,0.027156739480616154,0.5036070379632839,0.39814814814814814,0.6018518518518519,245007.89052631578,110575.92675545573,243562.0,19273,920821
"(11, 11, 11, 11)",0.5163651895704632,0.025460354961382624,0.5140579913186284,0.4307692307692308,0.6450672282520655,0.5062593154381402,0.024458195951284872,0.5020528613104387,0.4166666666666666,0.5802469135802469,370745.9347368421,171533.5596078468,363884.5,22974,880725
"(11, 11, 11, 11, 11)",0.5160259231846074,0.026343518655730543,0.5136886440952535,0.3969230769230769,0.6346994978130569,0.5046358563139483,0.024342082283291513,0.5014964635541537,0.4012345679012346,0.5963020030816641,442079.1347368421,199345.92927865442,440228.5,32753,1025941
"(11, 11, 11)",0.5158617058904478,0.026798267685881998,0.5112820512820513,0.4246153846153846,0.5977644581240888,0.5059431201094036,0.027063486661203062,0.5,0.4104938271604939,0.6234567901234568,306946.9336842105,141202.18372954984,307351.5,18012,738549
10,0.515673991097711,0.030357197848140522,0.5081807420034568,0.4246153846153846,0.6756155950752394,0.5103369124660382,0.03129562995100994,0.5020525451559934,0.3888888888888888,0.674884437596302,168498.00736842107,80817.59405011662,164677.0,14714,351718
11,0.5146306007743137,0.02817079241974417,0.5090744870746997,0.41538461538461535,0.6994871794871795,0.5082604069628265,0.028832474986018528,0.5025656375796987,0.4104938271604939,0.67692984385309,177866.78315789474,80525.26051955577,175410.0,15809,428796
