Shape,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,Time Mean,Time St Dev,Time Median,Time Min,Time Max
"(10, 10, 10)",0.08973353246436606,0.20301584667362804,0.03693931398416883,0.015384615384615332,1.0,0.08901934429975346,0.20322309346681905,0.036172396100564434,0.012345679012345734,0.9969135802469136,132545.14,115495.28797743858,90442.5,16422,570146
9,0.08857048035824583,0.2037518140263534,0.03775908064847122,0.015384615384615332,0.9955540355677156,0.08813509369864901,0.20403864326995805,0.037070041525647524,0.012345679012345734,0.9984591679506932,57663.53894736842,40834.82305379459,46525.0,12938,426830
"(10, 10, 10, 10)",0.08676013477161112,0.20283586022176855,0.03641959476788925,0.015384615384615332,0.995501893939394,0.08608129421549111,0.20329559870675862,0.03566739618325987,0.012345679012345734,0.9984591679506932,179453.32736842104,150150.34265755207,123128.0,17445,685515
"(11, 11)",0.08262909841315579,0.18168547545090463,0.03913808267370278,0.018461538461538415,0.9969230769230768,0.08226084485579228,0.1823863694847777,0.038574546630952666,0.015432098765432056,0.9956896551724138,88765.29315789473,83017.90384242768,56023.5,15118,504252
7,0.08206422987368563,0.1858833071748729,0.03833240067151655,0.015384615384615332,1.0,0.08132611024623924,0.18602240789211216,0.037455105182144684,0.012345679012345734,0.9964811963932264,52870.45368421053,34861.974091947784,42049.5,12695,330605
"(9, 9, 9, 9)",0.08124621506205679,0.18524755674624313,0.036593707250341945,0.015384615384615332,1.0,0.08062011254751461,0.18535571225890077,0.03574482640670429,0.012345679012345734,0.9969135802469136,175525.8947368421,143961.8426764132,120614.5,17700,623342
"(9, 9, 9)",0.08094565493475006,0.1886561981954818,0.03655252020007693,0.015384615384615332,0.9979487179487181,0.08004628188892027,0.1888088963230633,0.03585657370517925,0.012345679012345734,0.9979466119096508,133787.20368421052,110940.97973603362,94441.0,16021,516172
5,0.07955476970213014,0.18338181769210266,0.037550015389350544,0.015384615384615332,1.0,0.07882092866077095,0.1843285580538583,0.03667467381566064,0.012345679012345734,0.9984603541185528,50775.46263157895,34248.947990903245,40637.0,11796,260457
11,0.07924023891286346,0.18138828942983365,0.03913808267370278,0.015384615384615332,0.9984615384615384,0.07830247326054336,0.18138035903160157,0.03780525704383935,0.012345679012345734,0.9969199178644764,58976.61789473684,37967.5492728252,49235.0,13258,433004
"(8, 8, 8, 8)",0.07666179252506206,0.1761470498574958,0.03641025641025642,0.015384615384615332,1.0,0.07584502069997734,0.1764171555028958,0.03540990828322377,0.012345679012345734,0.9969214982042072,160268.58263157896,128450.9608408122,116414.0,15578,636909
