,OS Error,IS Error,Microseconds
mean,0.08062383820936432,0.07988175949672273,130295.05006015037
std,0.18820708666401179,0.18845396612095977,128968.4318495288
median,0.03657432554770956,0.03585657370517925,80377.0
amin,0.015384615384615332,0.012345679012345734,11796.0
amax,1.0,0.9989733059548256,932581.0
