,OS Error,IS Error,Microseconds
mean,0.527446245650186,0.520503328653204,247498.73043609023
std,0.03285823841074496,0.03405308908986977,160510.4273180186
median,0.5237240318030264,0.5135254013635364,224326.0
amin,0.3969230769230769,0.3858024691358025,12592.0
amax,0.9349990946949122,0.9332648870636552,1025941.0
