1,2,3
28,16,2
0,5943,108
0,0,75
1,2,3
3,2,2
25,5938,91
0,19,92
1,2,3
0,0,0
28,5957,159
0,2,26
1,2,3
0,0,0
28,5947,156
0,12,29
1,2,3
0,0,0
28,5955,168
0,4,17
1,2,3
0,0,0
28,5953,168
0,6,17
1,2,3
0,0,0
28,5955,170
0,4,15
1,2,3
0,0,0
28,5952,169
0,7,16
1,2,3
28,16,1
0,5623,108
0,0,71
1,2,3
2,1,1
26,5619,92
0,19,87
1,2,3
0,0,0
28,5635,154
0,4,26
1,2,3
0,0,0
28,5629,151
0,10,29
1,2,3
0,0,0
28,5636,163
0,3,17
1,2,3
0,0,0
28,5634,162
0,5,18
1,2,3
0,0,0
28,5635,165
0,4,15
1,2,3
0,0,0
28,5633,164
0,6,16
1,2,3
28,15,1
0,5308,107
0,0,63
1,2,3
2,2,1
26,5302,91
0,19,79
1,2,3
0,0,0
28,5320,144
0,3,27
1,2,3
0,0,0
28,5314,142
0,9,29
1,2,3
0,0,0
28,5321,154
0,2,17
1,2,3
0,0,0
28,5317,153
0,6,18
1,2,3
0,0,0
28,5319,156
0,4,15
1,2,3
0,0,0
28,5316,155
0,7,16
1,2,3
27,14,1
0,4999,105
0,0,51
1,2,3
2,2,1
25,4991,88
0,20,68
1,2,3
0,0,0
27,5010,135
0,3,22
1,2,3
0,0,0
27,5002,134
0,11,23
1,2,3
0,0,0
27,5011,143
0,2,14
1,2,3
0,0,0
27,5007,143
0,6,14
1,2,3
0,0,0
27,5009,144
0,4,13
1,2,3
0,0,0
27,5007,144
0,6,13
1,2,3
27,14,1
0,4682,101
0,0,47
1,2,3
2,2,1
25,4677,88
0,17,60
1,2,3
0,0,0
27,4693,131
0,3,18
1,2,3
0,0,0
27,4688,131
0,8,18
1,2,3
0,0,0
27,4694,135
0,2,14
1,2,3
0,0,0
27,4689,135
0,7,14
1,2,3
0,0,0
27,4692,136
0,4,13
1,2,3
0,0,0
27,4689,136
0,7,13
1,2,3
25,13,0
0,4369,96
0,0,44
1,2,3
1,1,1
24,4366,83
0,15,56
1,2,3
0,0,0
25,4380,124
0,2,16
1,2,3
0,0,0
25,4372,123
0,10,17
1,2,3
0,0,0
25,4379,127
0,3,13
1,2,3
0,0,0
25,4376,127
0,6,13
1,2,3
0,0,0
25,4378,128
0,4,12
1,2,3
0,0,0
25,4378,128
0,4,12
1,2,3
23,13,0
0,4055,91
0,0,41
1,2,3
1,1,1
22,4051,79
0,16,52
1,2,3
0,0,0
23,4065,117
0,3,15
1,2,3
0,0,0
23,4060,116
0,8,16
1,2,3
0,0,0
23,4065,120
0,3,12
1,2,3
0,0,0
23,4062,120
0,6,12
1,2,3
0,0,0
23,4066,121
0,2,11
1,2,3
0,0,0
23,4063,121
0,5,11
1,2,3
23,11,0
0,3739,86
0,0,39
1,2,3
1,1,1
22,3732,74
0,17,50
1,2,3
0,0,0
23,3747,111
0,3,14
1,2,3
0,0,0
23,3742,109
0,8,16
1,2,3
0,0,0
23,3747,114
0,3,11
1,2,3
0,0,0
23,3746,114
0,4,11
1,2,3
0,0,0
23,3749,119
0,1,6
1,2,3
0,0,0
23,3747,119
0,3,6
1,2,3
20,11,0
0,3427,77
0,0,38
1,2,3
1,1,1
19,3420,66
0,17,48
1,2,3
0,0,0
20,3436,101
0,2,14
1,2,3
0,0,0
20,3431,99
0,7,16
1,2,3
0,0,0
20,3435,105
0,3,10
1,2,3
0,0,0
20,3433,104
0,5,11
1,2,3
0,0,0
20,3437,110
0,1,5
1,2,3
0,0,0
20,3435,110
0,3,5
1,2,3
17,12,0
0,3114,69
0,0,36
1,2,3
1,1,1
16,3113,62
0,12,42
1,2,3
0,0,0
17,3124,93
0,2,12
1,2,3
0,0,0
17,3116,91
0,10,14
1,2,3
0,0,0
17,3124,100
0,2,5
1,2,3
0,0,0
17,3123,98
0,3,7
1,2,3
0,0,0
17,3126,104
0,0,1
1,2,3
0,0,0
17,3125,104
0,1,1
1,2,3
16,10,0
0,2805,62
0,0,30
1,2,3
1,1,1
15,2804,58
0,10,33
1,2,3
0,0,0
16,2813,79
0,2,13
1,2,3
0,0,0
16,2806,78
0,9,14
1,2,3
0,0,0
16,2813,85
0,2,7
1,2,3
0,0,0
16,2811,85
0,4,7
1,2,3
0,0,0
16,2814,91
0,1,1
1,2,3
0,0,0
16,2814,91
0,1,1
1,2,3
15,9,0
0,2494,56
0,0,24
1,2,3
1,1,1
14,2491,54
0,11,25
1,2,3
0,0,0
15,2502,71
0,1,9
1,2,3
0,0,0
15,2498,71
0,5,9
1,2,3
0,0,0
15,2501,76
0,2,4
1,2,3
0,0,0
15,2499,76
